"Station number","River","Location","Catchment area","Year opened","Year closed","Peak flow data","Daily data","Live data","SPRHOST (%)"
"20003","Tyne","Spilmersford","161","1965","","Yes","Yes","No","34"
"20004","East Peffer Burn","Lochhouses","31","1967","1993","No","Yes","No","37"
"20005","Birns Water","Saltoun Hall","93","1976","2001","Yes","Yes","No","32"
"20006","Biel Water","Belton House","52","1973","1998","Yes","Yes","No","34"
"20007","Gifford Water","Lennoxlove","64","1973","","Yes","Yes","No","33"
"21001","Fruid Water","Fruid","24","1959","1968","Yes","Yes","No","45"
"21002","Whiteadder Water","Hungry Snout","46","1955","1968","No","Yes","No","45"
"21003","Tweed","Peebles","694","1959","","Yes","Yes","No","37"
"21005","Tweed","Lyne Ford","373","1961","","Yes","Yes","No","38"
"21006","Tweed","Boleside","1500","1961","","Yes","Yes","No","38"
"21007","Ettrick Water","Lindean","499","1961","","Yes","Yes","No","42"
"21008","Teviot","Ormiston Mill","1110","1960","","Yes","Yes","No","43"
"21009","Tweed","Norham","4390","1962","","Yes","Yes","No","39"
"21010","Tweed","Dryburgh","2080","1960","1982","No","Yes","No","37"
"21011","Yarrow Water","Philiphaugh","231","1962","","Yes","Yes","No","42"
"21012","Teviot","Hawick","323","1963","","Yes","Yes","No","44"
"21013","Gala Water","Galashiels","207","1963","","Yes","Yes","No","35"
"21014","Tweed","Kingledores","139","1961","","No","Yes","No","45"
"21015","Leader Water","Earlston","239","1966","","Yes","Yes","No","33"
"21016","Eye Water","Eyemouth Mill","119","1967","","Yes","Yes","No","30"
"21017","Ettrick Water","Brockhoperig","38","1965","","Yes","Yes","No","44"
"21018","Lyne Water","Lyne Station","175","1968","","No","Yes","No","36"
"21019","Manor Water","Cademuir","62","1968","","Yes","Yes","No","41"
"21020","Yarrow Water","Gordon Arms","155","1967","","Yes","Yes","No","46"
"21021","Tweed","Sprouston","3330","1969","","Yes","Yes","No","39"
"21022","Whiteadder Water","Hutton Castle","503","1969","","No","Yes","No","38"
"21023","Leet Water","Coldstream","113","1970","","No","Yes","No","38"
"21024","Jed Water","Jedburgh","139","1971","","Yes","Yes","No","44"
"21025","Ale Water","Ancrum","174","1972","","Yes","Yes","No","47"
"21026","Tima Water","Deephope","31","1973","","No","Yes","No","45"
"21027","Blackadder Water","Mouth Bridge","159","1973","","Yes","Yes","No","37"
"21028","Menzion Burn","Menzion Farm","6","1948","1952","No","Yes","No","46"
"21029","Tweed","Glenbreck","34","1964","1975","Yes","No","No","49"
"21030","Megget Water","Henderland","56","1968","2010","Yes","Yes","No","48"
"21031","Till","Etal","648","1956","1980","Yes","Yes","No","41"
"21032","Glen","Kirknewton","199","1966","2010","Yes","Yes","No","51"
"21034","Yarrow Water","Craig Douglas","116","1975","","Yes","Yes","No","47"
"21035","Till","Heaton Mill","656","2002","","Yes","Yes","No","41"
"22001","Coquet","Morwick","570","1963","","Yes","Yes","Yes","43"
"22002","Coquet","Bygate","60","1957","1980","Yes","Yes","No","51"
"22003","Usway Burn","Shillmoor","21","1952","","Yes","Yes","No","57"
"22004","Aln","Hawkhill","205","1966","1980","Yes","Yes","No","36"
"22006","Blyth","Hartford Bridge","269","1966","","Yes","Yes","Yes","39"
"22007","Wansbeck","Mitford","287","1968","","Yes","Yes","No","42"
"22008","Alwin","Clennell","28","1969","1983","No","Yes","No","55"
"22009","Coquet","Rothbury","346","1972","","Yes","Yes","No","46"
"23001","Tyne","Bywell","2176","1956","","Yes","Yes","No","48"
"23002","Derwent","Eddys Bridge","118","1954","","Yes","Yes","No","48"
"23003","North Tyne","Reaverhill","1008","1959","","Yes","Yes","No","51"
"23004","South Tyne","Haydon Bridge","751","1962","","Yes","Yes","No","49"
"23005","North Tyne","Tarset","285","1963","1987","Yes","Yes","No","55"
"23006","South Tyne","Featherstone","322","1966","","Yes","Yes","No","53"
"23007","Derwent","Rowlands Gill","242","1962","","Yes","Yes","No","44"
"23008","Rede","Rede Bridge","344","1968","","Yes","Yes","No","49"
"23009","South Tyne","Alston","119","1969","","Yes","Yes","Yes","54"
"23010","Tarset Burn","Greenhaugh","96","1970","1980","Yes","Yes","No","53"
"23011","Kielder Burn","Kielder","59","1970","","Yes","Yes","Yes","55"
"23012","East Allen","Wide Eals","88","1971","1980","Yes","Yes","No","48"
"23013","West Allen","Hindley Wrae","75","1971","1980","Yes","Yes","No","52"
"23014","North Tyne","Kielder temporary","27","1960","1974","No","Yes","No","52"
"23015","North Tyne","Barrasford","1044","1939","1959","Yes","Yes","No","50"
"23016","Ouse Burn","Crag Hall","55","1976","","No","Yes","No","40"
"23017","Team","Team Valley","62","1991","","Yes","Yes","No","36"
"23018","Ouse Burn","Woolsington","9","1991","","Yes","Yes","No","40"
"23022","North Tyne","Uglydub","242","1983","","No","Yes","Yes","55"
"23033","Rede","Otterburn","181","2000","","Yes","Yes","No","51"
"24001","Wear","Sunderland Bridge","658","1957","","Yes","Yes","No","44"
"24002","Gaunless","Bishop Auckland","93","1958","2004","No","Yes","No","38"
"24003","Wear","Stanhope","172","1958","","Yes","Yes","No","51"
"24004","Bedburn Beck","Bedburn","75","1959","","Yes","Yes","No","44"
"24005","Browney","Burnhall","179","1954","","Yes","Yes","No","39"
"24006","Rookhope Burn","Eastgate","37","1957","1980","Yes","Yes","No","52"
"24007","Browney","Lanchester","45","1968","1983","Yes","Yes","No","40"
"24008","Wear","Witton Park","455","1972","","Yes","Yes","No","46"
"24009","Wear","Chester le Street","1008","1977","","Yes","Yes","No","42"
"24011","Wear","Burnhope Reservoir","21","1991","","No","Yes","No","56"
"25001","Tees","Darlington Broken Scar","818","1956","","Yes","Yes","Yes","47"
"25002","Tees","Dent Bank","217","1956","1974","No","Yes","No","54"
"25003","Trout Beck","Moor House","11","1957","","Yes","Yes","No","60"
"25004","Skerne","Darlington South Park","250","1956","","Yes","Yes","No","37"
"25005","Leven","Leven Bridge","196","1959","2008","Yes","Yes","No","40"
"25006","Greta","Rutherford Bridge","86","1960","","Yes","Yes","Yes","55"
"25007","Clow Beck","Croft","78","1961","1980","No","Yes","No","36"
"25008","Tees","Barnard Castle","509","1966","","Yes","Yes","No","50"
"25009","Tees","Low Moor","1264","1969","","Yes","Yes","Yes","44"
"25011","Langdon Beck","Langdon","13","1969","","Yes","Yes","No","58"
"25012","Harwood Beck","Harwood","25","1970","","Yes","Yes","No","53"
"25018","Tees","Middleton in Teesdale","242","1971","","Yes","Yes","Yes","54"
"25019","Leven","Easby","15","1971","","Yes","Yes","No","39"
"25020","Skerne","Preston le Skerne","147","1972","","Yes","Yes","No","35"
"25021","Skerne","Bradbury","70","1973","","Yes","Yes","No","34"
"25022","Balder","Balderhead Reservoir","20","1971","1980","No","Yes","No","58"
"25023","Tees","Cow Green Reservoir","58","1971","","No","Yes","No","59"
