"Station number","River","Location","Minimum altitude","10 percentile altitude","50 percentile altitude","90 percentile altitude","Maximum altitude"
"34019","Bure","Horstead Mill","6.2","14","36","66","100"
"35001","Gipping","Constantine Weir","2.5","27","56","76","98"
"35002","Deben","Naunton Hall","5","24","50","62","66"
"35003","Alde","Farnham","6.4","21","43","55","63"
"35004","Ore","Beversham","4.9","18","38","53","61"
"35008","Gipping","Stowmarket","26","44","62","83","98"
"35010","Gipping","Bramford","6.4","31","57","77","98"
"35011","Belstead Brook","Belstead","5.4","27","51","72","91"
"35013","Blyth","Holton","4.4","20","42","53","61"
"35014","Mill River","Newbourne","4.2","19","30","40","51"
"36001","Stour","Stratford St Mary","5.6","38","70","110","130"
"36002","Glem","Glemsford","34","62","92","120","130"
"36003","Box","Polstead","17","43","62","72","85"
"36004","Chad Brook","Long Melford","33","56","80","110","130"
"36005","Brett","Hadleigh","18","45","71","90","110"
"36006","Stour","Langham","7.1","40","75","110","130"
"36007","Belchamp Brook","Bardfield Bridge","28","48","66","80","88"
"36008","Stour","Westmill","35","61","92","110","130"
"36009","Brett","Cockfield","59","78","89","94","110"
"36010","Bumpstead Brook","Broad Green","57","74","98","120","130"
"36011","Stour Brook","Sturmer","55","75","100","120","120"
"36012","Stour","Kedington","54","77","100","110","120"
"36013","Brett","Higham","6.6","37","66","89","110"
"36015","Stour","Lamarsh","18","49","81","110","130"
"37001","Roding","Redbridge","8.4","36","71","93","120"
"37002","Chelmer","Rushes Lock","9.5","37","65","94","120"
"37003","Ter","Crabbs Bridge","15","39","61","77","93"
"37004","Blackwater","Langford","5.4","31","64","100","120"
"37005","Colne","Lexden","10","40","68","91","110"
"37006","Can","Beach's Mill","24","44","67","87","120"
"37007","Wid","Writtle","27","48","70","91","120"
"37008","Chelmer","Springfield","22","48","80","100","120"
"37009","Brain","Guithavon Valley","15","40","66","86","96"
"37010","Blackwater","Appleford Bridge","14","36","66","100","120"
"37011","Chelmer","Churchend","52","73","95","110","120"
"37012","Colne","Poolstreet","44","63","83","100","110"
"37013","Sandon Brook","Sandon Bridge","20","35","53","71","110"
"37014","Roding","High Ongar","41","60","75","94","110"
"37015","Cripsey Brook","Chipping Ongar","42","61","80","97","110"
"37016","Pant","Copford Hall","59","78","100","110","120"
"37017","Blackwater","Stisted","33","60","85","110","120"
"37018","Ingrebourne","Gaynes Park","8.7","29","65","94","120"
"37019","Beam","Bretons Farm","5.8","14","35","78","100"
"37020","Chelmer","Felsted","41","64","88","110","120"
"37021","Roman River","Bounstead Bridge","5.5","28","38","56","68"
"37022","Holland Brook","Thorpe le Soken","5.6","18","25","34","38"
"37023","Roding","Loughton","18","45","73","94","120"
"37024","Colne","Earls Colne","25","52","75","93","110"
"37025","Bourne Brook","Perces Bridge","38","61","78","92","100"
"37026","Tenpenny Brook","Tenpenny Bridge","6.5","22","32","35","39"
"37027","Sixpenny Brook","Ship House Bridge","17","25","33","36","39"
"37028","Bentley Brook","Saltwater Bridge","5.1","20","25","33","37"
"37029","St Osyth Brook","Main Road Bridge","7.2","13","21","25","28"
"37031","Crouch","Wickford","5.8","16","32","68","120"
"37033","Eastwood Brook","Eastwood","13","22","44","69","83"
"37034","Mar Dyke","Stifford","4.2","7.9","19","62","120"
"37038","Wid","Margaretting","37","53","72","93","120"
"38001","Lee","Feildes Weir","26","64","99","140","230"
