"Station number","River","Location","Catchment area","SAAR 1961-1990 (mm)","SAAR 1941-1970 (mm)"
"67002","Dee","Erbistock Rectory","1028","1400","1400"
"67003","Brenig","Llyn Brenig outflow","20","1300","1300"
"67005","Ceiriog","Brynkinalt Weir","114","1200","1300"
"67006","Alwen","Druid","185","1300","1300"
"67008","Alyn","Pont-y-Capel","227","920","900"
"67009","Alyn","Rhydymwyn","78","970","960"
"67010","Gelyn","Cynefail","13","2000","2000"
"67013","Hirnant","Plas Rhiwedog","34","1800","1800"
"67015","Dee","Manley Hall","1013","1400","1400"
"67017","Tryweryn","Llyn Celyn outflow","60","2000","2000"
"67018","Dee","New Inn","54","2000","1900"
"67023","Golborne Brook","Tattenhall","18","720","740"
"67025","Clywedog","Bowling Bank","99","850","860"
"67027","Dee","Ironbridge","1674","1100","1200"
"67028","Ceidiog","Llandrillo","37","1500","1600"
"67029","Trystion","Pen-y-felin Fawr","12","1300","1500"
"67033","Dee","Chester Suspension Bridge","1817","1100","1100"
"68001","Weaver","Ashbrook","622","730","770"
"68002","Gowy","Picton","156","730","720"
"68003","Dane","Rudheath","407","850","880"
"68004","Wistaston Brook","Marshfield Bridge","93","730","760"
"68005","Weaver","Audlem","207","720","760"
"68006","Dane","Hulme Walfield","150","1000","1100"
"68007","Wincham Brook","Lostock Gralam","148","820","810"
"68010","Fender","Ford Lane","18","770","780"
"68011","Arley Brook","Gore Farm","37","830","800"
"68015","Gowy","Huxley","49","730","740"
"68018","Dane","Congleton Park","145","1000","1100"
"68020","Gowy","Bridge Trafford","156","730","720"
"68021","Arrowe Brook","Acton Lane","18","750","760"
"68044","Dane","Hug Bridge","73","1200","1200"
"69001","Mersey","Irlam Weir","679","1100","1100"
"69002","Irwell","Adelphi Weir","559","1300","1300"
"69003","Irk","Scotland Weir","73","1000","1000"
"69004","Etherow","Bottoms Reservoir","78","1500","1500"
"69005","Glaze Brook","Little Woolden Hall","152","970","950"
"69006","Bollin","Dunham Massey","258","880","870"
"69007","Mersey","Ashton Weir","660","1100","1100"
"69008","Dean","Stanneylands","59","950","920"
"69011","Micker Brook","Cheadle","67","900","860"
"69012","Bollin","Wilmslow","73","930","930"
"69013","Sinderland Brook","Partington","45","830","820"
"69015","Etherow","Compstall","156","1300","1300"
"69017","Goyt","Marple Bridge","183","1200","1100"
"69019","Worsley Brook","Eccles","25","960","960"
"69020","Medlock","London Road","58","1000","1000"
"69022","Irwell","Irwell Vale","101","1400","1400"
"69023","Roch","Blackford Bridge","186","1200","1200"
"69024","Croal","Farnworth Weir","145","1300","1300"
"69025","Irwell","Manchester Racecourse","557","1300","1300"
"69027","Tame","Portwood","150","1200","1200"
"69028","Mersey","Brinksway","517","1200","1200"
"69030","Sankey Brook","Causey Bridges","154","900","900"
"69032","Alt","Kirkby","90","860","900"
"69033","Alt","Sefton","100","860","880"
"69035","Irwell","Bury Bridge","155","1400","1300"
"69037","Mersey","Westy","2030","1100","1100"
"69039","Medlock","New Viaduct Street","56","1000","1100"
"69041","Tame","Broomstairs","113","1300","1300"
"69042","Ding Brook","Naden Reservoir","2","1500","1400"
"69043","Irk","Collyhurst Weir","72","1000","1000"
"69044","Irwell","Bury Ground","140","1400","1400"
"69045","Bollin","Bollington Mill Total","257","880","870"
"69046","Bradshaw Brook","Bradshaw Tennis Club","37","1400","1400"
"69047","Roch","Littleborough","15","1400","1300"
"69048","Tame","Uppermill","41","1400","1300"
"69803","Roch","Rochdale","111","1300","1300"
"70001","Douglas","Rivington Reservoirs","39","1300","1200"
"70002","Douglas","Wanes Blades Bridge","198","1000","1000"
"70003","Douglas","Wigan","55","1100","1100"
"70004","Yarrow","Croston Mill","74","1100","1000"
"70005","Lostock","Littlewood Bridge","56","1000","1000"
"71001","Ribble","Samlesbury","1145","1400","1300"
"71002","Hodder","Stocks Reservoir","37","1700","1600"
"71003","Croasdale Beck","Croasdale Flume","10","1900","1800"
"71004","Calder","Whalley Weir","316","1200","1200"
"71005","Bottoms Beck","Bottoms Beck flume","11","1500","1500"
"71006","Ribble","Henthorn","456","1300","1300"
"71008","Hodder","Hodder Place","261","1600","1500"
"71009","Ribble","New Jumbles Rock","1053","1400","1300"
"71010","Pendle Water","Barden Lane","108","1200","1200"
"71011","Ribble","Arnford","204","1400","1500"
"71013","Darwen","Ewood","40","1300","1300"
"71014","Darwen","Blue Bridge","128","1200","1200"
"71015","Dunsop","Footholme Flume","25","1900","1900"
"72002","Wyre","St Michaels","275","1300","1300"
"72003","Hindburn","Wray","84","1600","1600"
"72004","Lune","Caton","983","1500","1500"
"72005","Lune","Killington","219","1700","1600"
"72006","Lune","Kirkby Lonsdale","507","1700","1600"
"72007","Brock","upstream of A6","32","1400","1400"
"72008","Wyre","Garstang","114","1400","1400"
"72009","Wenning","Wennington","142","1300","1300"
"72011","Rawthey","Brigflatts","200","1800","1700"
"72014","Conder","Galgate","29","1200","1300"
"72015","Lune","Lunes Bridge","142","1600","1600"
"72016","Wyre","Scorton Weir","89","1500","1500"
"72807","Wenning","Hornby","232","1400","1400"
"72817","New Mill Brook","Hollowforth Hall","32","1100","1100"
"73002","Crake","Low Nibthwaite","73","2200","2200"
"73003","Kent","Burneside","74","1900","1900"
"73005","Kent","Sedgwick","209","1700","1800"
"73006","Cunsey Beck","Eel House Bridge","19","1900","1900"
"73008","Bela","Beetham","131","1300","1300"
"73009","Sprint","Sprint Mill","35","2000","2100"
"73010","Leven","Newby Bridge","247","2200","2200"
"73011","Mint","Mint Bridge","66","1600","1700"
"73012","Kent","Victoria Bridge","183","1800","1800"
"73013","Rothay","Miller Bridge House","64","2400","2400"
"73014","Brathay","Jeffy Knotts","57","2800","2900"
"73015","Keer","High Keer Weir","48","1200","1200"
"73017","Kent","Bowston","71","1900","1900"
"74001","Duddon","Duddon Hall","86","2300","2400"
"74002","Irt","Galesyke","44","2600","2700"
"74003","Ehen","Bleach Green","44","2500","2600"
"74005","Ehen","Braystones","126","1800","1800"
"74006","Calder","Calder Hall","45","1800","1800"
"74007","Esk","Cropple How","70","2300","2400"
"74008","Duddon","Ulpha","48","2500","2600"
"75001","St Johns Beck","Thirlmere Reservoir","42","2600","2700"
"75002","Derwent","Camerton","663","1800","1900"
"75003","Derwent","Ouse Bridge","363","2100","2200"
"75004","Cocker","Southwaite Bridge","117","2000","2200"
"75005","Derwent","Portinscale","235","2200","2400"
"75006","Newlands Beck","Braithwaite","34","2400","2400"
"75007","Glenderamackin","Threlkeld","65","1700","1800"
"75009","Greta","Low Briery","146","2000","2100"
"75010","Marron","Ullock","28","1500","1700"
"75016","Cocker","Scalehill","64","2300","2400"
"75017","Ellen","Bullgill","96","1100","1200"
"75018","Derwent","Seaton Mill","","1800","1900"
"76001","Haweswater Beck","Burnbanks","33","2400","2400"
"76002","Eden","Warwick Bridge","1367","1300","1300"
"76003","Eamont","Udford","396","1800","1800"
"76004","Lowther","Eamont Bridge","159","1800","1800"
"76005","Eden","Temple Sowerby","616","1100","1200"
"76007","Eden","Sheepmount","2287","1200","1200"
"76008","Irthing","Greenholme","335","1100","1100"
"76009","Caldew","Holm Hill","147","1400","1500"
"76010","Petteril","Harraby Green","160","940","930"
"76011","Coal Burn","Coalburn","2","1100","1200"
"76014","Eden","Kirkby Stephen","69","1500","1400"
"76015","Eamont","Pooley Bridge","145","2100","2200"
"76017","Eden","Great Corby","1373","1300","1300"
"76019","Roe Beck","Stockdalewath","63","980","1000"
"76020","Petteril","Newbiggin Bridge","","",""
"76021","Eden","Great Musgrave Bridge","223","1300","1300"
"76809","Caldew","Cummersdale","244","1200","1300"
"76811","Dacre Beck","Dacre Bridge","36","1400","1500"
