"Station number","River","Location","Catchment area","SAAR 1961-1990 (mm)","SAAR 1941-1970 (mm)"
"1001","Wick","Tarroul","162","930","920"
"2001","Helmsdale","Kilphedir","551","1100","1100"
"2002","Brora","Bruachrobie","434","1200","1200"
"3001","Shin","Lairg","495","1600","1600"
"3002","Carron","Sgodachail","241","1800","2000"
"3003","Oykel","Easter Turnaig","331","1900","2000"
"3004","Cassley","Rosehall","188","2300","2100"
"3005","Shin","Inveran","575","1500","1500"
"3006","Loch Ailsh","Loch Ailsh","44","2600","2200"
"4001","Conon","Moy Bridge","962","1800","1800"
"4003","Alness","Alness","201","1400","1500"
"4004","Blackwater","Contin","337","1600","1700"
"4005","Meig","Glenmeanie","121","2100","2100"
"4006","Bran","Dosmucheran","116","2200","2000"
"4007","Blackwater","Garve","289","1700","1800"
"4008","Newhall Burn","Newhall Bridge","41","780","800"
"4009","Peffery","Strathpeffer STW","17","1100","1100"
"4010","Meig","Loch Beannacharain","71","2400","2300"
"4011","Meig","Corrievuic","58","2500","2400"
"5001","Beauly","Erchless","850","2200","2200"
"5002","Farrar","Struy","311","2200","2100"
"5003","Glass","Kerrow Wood","482","2200","2300"
"5004","Glass","Fasnakyle","278","2200","2400"
"6001","Ness","Ness Castle Farm","1792","1800","1800"
"6003","Moriston","Invermoriston","391","2100","2100"
"6006","Allt Bhlaraidh","Invermoriston","28","1600","1600"
"6007","Ness","Ness-side","1839","1800","1800"
"6008","Enrick","Mill of Tore","106","1300","1300"
"6009","Moriston","Levishie","403","2100","2200"
"6011","Tarff","Ardachy Bridge","76","1600","1700"
"6012","Enrick","White Bridge","56","1300","1400"
"6013","Mill Burn","Dirriebught House","9","780","790"
"7001","Findhorn","Shenachie","416","1200","1400"
"7002","Findhorn","Forres","782","1100","1200"
"7003","Lossie","Sheriffmills","216","830","890"
"7004","Nairn","Firhall","313","940","1100"
"7005","Divie","Dunphail","165","870","920"
"7006","Lossie","Torwinny","20","960","960"
"7007","Black Burn","Monaughty","44","810","880"
"7008","Nairn","Balnafoich","128","1000","1200"
"7009","Mosset Burn","Wardend Bridge","28","800","850"
"7010","Muckle Burn","Brodie","81","810","870"
"7011","Black Burn","Pluscarden Abbey","36","810","870"
"7012","Lossie","Ballachraggan","","940","970"
"8001","Spey","Aberlour","2655","1100","1200"
"8002","Spey","Kinrara","1012","1300","1300"
"8003","Spey","Ruthven Bridge","534","1400","1400"
"8004","Avon","Delnashaugh","543","1100","1200"
"8005","Spey","Boat of Garten","1268","1300","1300"
"8006","Spey","Boat o Brig","2861","1100","1200"
"8007","Spey","Invertruim","400","1400","1400"
"8008","Tromie","Tromie Bridge","130","1400","1500"
"8009","Dulnain","Balnaan Bridge","272","1000","1100"
"8010","Spey","Grantown","1749","1200","1200"
"8011","Livet","Minmore","104","1000","1100"
"8013","Feshie","Feshie Bridge","231","1300","1400"
"8015","Fiddich","Auchindoun","45","1000","1200"
"8016","Conglass Water","Auchriachan","41","1000","1200"
"8017","Burn of Carron","Dailuaine","15","900","890"
"8018","Avon","Tomintoul","185","1300","1400"
"8021","Nethy","Forest Lodge","39","1300","1400"
"9001","Deveron","Avochie","442","990","1100"
"9002","Deveron","Muiresk","955","930","990"
"9003","Isla","Grange","176","900","960"
"9004","Bogie","Redcraig","179","960","1000"
"9005","Allt Deveron","Cabrach","67","1100","1200"
"9006","Deskford Burn","Cullen","47","820","830"
"9007","Forgue Burn","Inverkeithny","88","870","880"
"9008","Burn of Boyne","Scotsmill","53","830","850"
"9009","Idoch Water","Turriff","95","830","910"
"9010","Deveron","Huntly","225","1000","1100"
"10001","Ythan","Ardlethen","448","830","860"
"10002","Ugie","Inverugie","325","810","880"
"10003","Ythan","Ellon","523","830","860"
"11001","Don","Parkhill","1273","880","960"
"11002","Don","Haughton","787","920","1000"
"11003","Don","Bridge of Alford","499","970","1100"
"11004","Urie","Pitcaple","198","870","880"
"11005","Don","Mill of Newe","187","1100","1200"
"11006","Don","Culfork","103","1100","1200"
"12001","Dee","Woodend","1370","1100","1200"
"12002","Dee","Park","1844","1100","1200"
"12003","Dee","Polhollick","690","1200","1300"
"12004","Girnock Burn","Littlemill","30","940","1100"
"12005","Muick","Invermuick","110","1200","1400"
"12006","Gairn","Invergairn","150","1000","1000"
"12007","Dee","Mar Lodge","289","1300","1500"
"12008","Feugh","Heugh Head","229","1100","1200"
"12009","Water of Dye","Charr","42","1300","1300"
"13001","Bervie","Inverbervie","123","890","930"
"13002","Luther Water","Luther Bridge","138","910","920"
"13003","South Esk","Stannochy Bridge","487","1100","1100"
"13004","Prosen Water","Prosen Bridge","104","1200","1200"
"13005","Lunan Water","Kirkton Mill","124","770","810"
"13007","North Esk","Logie Mill","732","1100","1100"
"13008","South Esk","Brechin","488","1100","1100"
"13009","West Water","Dalhouse Bridge","127","1200","1100"
"13010","Brothock Water","Arbroath","50","710","730"
"13012","South Esk","Gella Bridge","130","1400","1400"
"13017","Colliston Burn","Colliston","8","750","780"
"14001","Eden","Kemback","307","800","830"
"14002","Dighty Water","Balmossie Mill","127","800","830"
"14005","Motray Water","St Michaels","60","720","750"
"14006","Monikie Burn","Panbride","16","790","840"
"14007","Craigmill Burn","Craigmill","29","790","840"
"14009","Eden","Strathmiglo","26","930","970"
"14010","Motray Water","Kilmany","33","740","770"
"15001","Isla","Forter","71","1400","1500"
"15002","Newton Burn","Newton","15","1200","1200"
"15003","Tay","Caputh","3210","1600","1600"
"15004","Inzion","Loch of Lintrathen","25","1100","1100"
"15005","Melgan","Loch of Lintrathen","41","1100","1100"
"15006","Tay","Ballathie","4587","1400","1400"
"15007","Tay","Pitnacree","1149","2000","1900"
"15008","Dean Water","Cookston","177","840","880"
"15010","Isla","Wester Cardean","367","1100","1100"
"15011","Lyon","Comrie Bridge","391","2000","1900"
"15012","Tummel","Pitlochry","1670","1500","1500"
"15013","Almond","Almondbank","175","1400","1500"
"15014","Ardle","Kindrogan","103","1100","1300"
"15015","Almond","Newton Bridge","84","1600","1700"
"15016","Tay","Kenmore","601","2100","2100"
"15017","Braan","Ballinloan","197","1300","1500"
"15018","Lyon","Moar","161","2400","2400"
"15021","Lunan Burn","Mill Bank","94","880","910"
"15023","Braan","Hermitage","210","1300","1500"
"15024","Dochart","Killin","239","2500","2400"
"15025","Ericht","Craighall","432","1100","1200"
"15027","Garry Burn","Loakmill","20","950","1000"
"15028","Ordie Burn","Luncarty","54","930","1000"
"15029","Alyth Burn","Pitcrocknie","32","920","960"
"15030","Dean Water","Dean Bridge","230","820","850"
"15032","Ordie Burn","Jackstone","20","990","1100"
"15034","Garry","Killiecrankie","745","1400","1500"
"15035","Tummel","Kinloch Rannoch","647","1800","1700"
"15038","Gaur","Bridge of Gaur","247","2000","2000"
"15039","Tilt","Marble Lodge","165","1300","1600"
"15041","Lyon","Camusvrachan","237","2300","2300"
"15046","Garry Burn","Loakmill","","950","1000"
"16001","Earn","Kinkell Bridge","591","1500","1500"
"16002","Earn","Aberuchill","177","1700","1700"
"16003","Ruchill Water","Cultybraggan","100","1900","1900"
"16004","Earn","Forteviot Bridge","782","1400","1400"
"16007","Ruthven Water","Aberuthven","50","1200","1200"
"17001","Carron","Headswood","122","1500","1500"
"17002","Leven","Leven","424","950","950"
"17003","Bonny Water","Bonnybridge","51","1200","1100"
"17004","Ore","Balfour Mains","162","870","880"
"17005","Avon","Polmonthill","195","990","990"
"17008","South Queich","Kinross","34","1200","1100"
"17012","Red Burn","Castlecary","22","1200","1100"
"17015","North Queich","Lathro","23","1200","1200"
"17016","Lochty Burn","Whinnyhall","14","870","890"
"17018","Greens Burn","Damleys Cottage","11","970","1000"
"18001","Allan Water","Kinbuck","161","1400","1300"
"18002","Devon","Glenochil","181","1300","1400"
"18003","Teith","Bridge of Teith","518","2000","2000"
"18005","Allan Water","Bridge of Allan","210","1300","1300"
"18007","Devon","Fossoway Bridge","70","1600","1700"
"18008","Leny","Anie","190","2200","2300"
"18010","Forth","Gargunnock","397","1600","1600"
"18011","Forth","Craigforth","1036","",""
"18013","Black Devon","Fauld Mill","56","960","970"
"18014","Bannock Burn","Bannockburn","24","1300","1300"
"18015","Eas Gobhain","Loch Venachar","202","2100","2000"
"18016","Kelty Water","Clashmore","3","2200","1900"
"18017","Monachyle Burn","Balquhidder","8","2400","2300"
"18018","Kirkton Burn","Balquhidder","7","2100","2200"
"18019","Comer Burn","Comer","1","2700","2600"
"18020","Loch Ard Burn","Duchray","1","2000","1900"
"18021","Loch Ard Burn","Elrig","1","2000","1800"
"18022","Avon Dhu","Milton","45","2100","2100"
"18023","Monachyle Burn","Upper Monachyle","2","2400","2200"
"19001","Almond","Craigiehall","369","890","910"
"19002","Almond","Almond Weir","44","1000","1000"
"19003","Breich Water","Breich Weir","52","1000","1000"
"19004","North Esk","Dalmore Weir","82","950","970"
"19005","Almond","Almondell","229","960","980"
"19006","Water of Leith","Murrayfield","107","870","900"
"19007","Esk","Musselburgh","330","840","850"
"19008","South Esk","Prestonholm","112","860","880"
"19009","Bog Burn","Cobbinshaw","9","990","1000"
"19010","Braid Burn","Liberton","16","770","770"
"19011","North Esk","Dalkeith Palace","137","910","920"
"19012","Water of Leith","Colinton","72","930","970"
"19014","Brox Burn","Newliston","34","830","830"
"19017","Gogar Burn","Turnhouse","39","760","760"
"19020","Almond","Whitburn","30","1000","1000"
"19021","South Esk","Cowbridge","156","820","840"
"20001","Tyne","East Linton","307","710","730"
"20002","West Peffer Burn","Luffness","26","620","640"
"20003","Tyne","Spilmersford","161","720","760"
"20004","East Peffer Burn","Lochhouses","31","620","610"
"20005","Birns Water","Saltoun Hall","93","760","800"
"20006","Biel Water","Belton House","52","740","750"
"20007","Gifford Water","Lennoxlove","64","770","790"
"20008","Brox Burn","Broxmouth","20","720","730"
"21001","Fruid Water","Fruid","24","1700","1800"
"21002","Whiteadder Water","Hungry Snout","46","910","990"
"21003","Tweed","Peebles","694","1100","1200"
"21005","Tweed","Lyne Ford","373","1300","1300"
"21006","Tweed","Boleside","1500","1200","1200"
"21007","Ettrick Water","Lindean","499","1300","1400"
"21008","Teviot","Ormiston Mill","1110","940","1000"
"21009","Tweed","Norham","4390","960","1000"
"21010","Tweed","Dryburgh","2080","1100","1100"
"21011","Yarrow Water","Philiphaugh","231","1300","1400"
"21012","Teviot","Hawick","323","1100","1200"
"21013","Gala Water","Galashiels","207","930","990"
"21014","Tweed","Kingledores","139","1600","1600"
"21015","Leader Water","Earlston","239","850","890"
"21016","Eye Water","Eyemouth Mill","119","730","750"
"21017","Ettrick Water","Brockhoperig","38","1700","1900"
"21018","Lyne Water","Lyne Station","175","940","1000"
"21019","Manor Water","Cademuir","62","1300","1500"
"21020","Yarrow Water","Gordon Arms","155","1500","1500"
"21021","Tweed","Sprouston","3330","1000","1100"
"21022","Whiteadder Water","Hutton Castle","503","810","860"
"21023","Leet Water","Coldstream","113","670","710"
"21024","Jed Water","Jedburgh","139","910","980"
"21025","Ale Water","Ancrum","174","930","990"
"21026","Tima Water","Deephope","31","1500","1800"
"21027","Blackadder Water","Mouth Bridge","159","770","810"
"21028","Menzion Burn","Menzion Farm","6","1500","1400"
"21029","Tweed","Glenbreck","34","1500","1700"
"21030","Megget Water","Henderland","56","1700","1600"
"21031","Till","Etal","648","830","850"
"21032","Glen","Kirknewton","199","880","930"
"21034","Yarrow Water","Craig Douglas","116","1600","1600"
"21035","Till","Heaton Mill","656","820","850"
"22001","Coquet","Morwick","570","850","880"
"22002","Coquet","Bygate","60","1000","1100"
"22003","Usway Burn","Shillmoor","21","1100","1100"
"22004","Aln","Hawkhill","205","760","750"
"22006","Blyth","Hartford Bridge","269","700","730"
"22007","Wansbeck","Mitford","287","790","850"
"22008","Alwin","Clennell","28","1000","1000"
"22009","Coquet","Rothbury","346","910","950"
"23001","Tyne","Bywell","2176","1000","1100"
"23002","Derwent","Eddys Bridge","118","940","960"
"23003","North Tyne","Reaverhill","1008","1000","1100"
"23004","South Tyne","Haydon Bridge","751","1100","1200"
"23005","North Tyne","Tarset","285","1200","1300"
"23006","South Tyne","Featherstone","322","1300","1500"
"23007","Derwent","Rowlands Gill","242","850","870"
"23008","Rede","Rede Bridge","344","940","1000"
"23009","South Tyne","Alston","119","1500","1700"
"23010","Tarset Burn","Greenhaugh","96","990","1100"
"23011","Kielder Burn","Kielder","59","1200","1400"
"23012","East Allen","Wide Eals","88","1100","1200"
"23013","West Allen","Hindley Wrae","75","1200","1300"
"23014","North Tyne","Kielder temporary","27","1300","1400"
"23015","North Tyne","Barrasford","1044","1000","1100"
"23016","Ouse Burn","Crag Hall","55","670","680"
"23017","Team","Team Valley","62","690","700"
"23018","Ouse Burn","Woolsington","9","670","700"
"23022","North Tyne","Uglydub","242","1300","1400"
"23033","Rede","Otterburn","181","1000","1100"
"24001","Wear","Sunderland Bridge","658","930","970"
"24002","Gaunless","Bishop Auckland","93","730","790"
"24003","Wear","Stanhope","172","1300","1300"
"24004","Bedburn Beck","Bedburn","75","900","950"
"24005","Browney","Burnhall","179","740","750"
"24006","Rookhope Burn","Eastgate","37","1100","1200"
"24007","Browney","Lanchester","45","800","800"
"24008","Wear","Witton Park","455","1000","1100"
"24009","Wear","Chester le Street","1008","860","890"
"24011","Wear","Burnhope Reservoir","21","1600","1600"
"25001","Tees","Darlington Broken Scar","818","1100","1200"
"25002","Tees","Dent Bank","217","1600","1800"
"25003","Trout Beck","Moor House","11","1900","2000"
"25004","Skerne","Darlington South Park","250","640","680"
"25005","Leven","Leven Bridge","196","730","730"
"25006","Greta","Rutherford Bridge","86","1100","1300"
"25007","Clow Beck","Croft","78","720","770"
"25008","Tees","Barnard Castle","509","1300","1400"
"25009","Tees","Low Moor","1264","970","1000"
"25011","Langdon Beck","Langdon","13","1500","1500"
"25012","Harwood Beck","Harwood","25","1600","1700"
"25018","Tees","Middleton in Teesdale","242","1500","1700"
"25019","Leven","Easby","15","830","860"
"25020","Skerne","Preston le Skerne","147","650","700"
"25021","Skerne","Bradbury","70","660","690"
"25022","Balder","Balderhead Reservoir","20","1200","1400"
"25023","Tees","Cow Green Reservoir","58","1800","2000"
"25029","Leven","Foxton Bridge","184","730","730"
"25808","Burnt Hill","Moor House","0","1500","1800"
"25809","Bog Hill","Moor House","0","1800","2000"
"25810","Sike Hill","Moor House","0","1800","2000"
"26001","West Beck","Wansford Bridge","192","720","770"
"26002","Hull","Hempholme Lock","378","700","730"
"26003","Foston Beck","Foston Mill","57","700","720"
"26004","Gypsey Race","Bridlington","254","720","750"
"26005","Gypsey Race","Boynton","240","720","750"
"26006","Elmswell Beck","Little Driffield","136","-10000",""
"26007","Catchwater","Withernwick","16","630","630"
"26008","Mires Beck","North Cave","42","690","700"
"26009","West Beck","Snakeholme Lock","242","720","770"
"26010","Driffield Canal","Snakeholme Lock","25","700","730"
"26011","Market Weighton Canal","Wholsea Grange","43","650","680"
"26012","Foulness","Holme House Farm","70","630","680"
"26013","Driffield Trout Stream","Driffield","53","690","730"
"26014","Water Forlornes","Driffield","32","720","760"
"26802","Gypsey Race","Kirby Grindalythe","16","760","790"
"27001","Nidd","Hunsingore Weir","484","960","970"
"27002","Wharfe","Wetherby Flint Mill","759","1200","1200"
"27003","Aire","Beal","1932","980","980"
"27004","Calder","Newlands","899","1000","1000"
"27005","Nidd","Gouthwaite Reservoir","114","1400","1400"
"27006","Don","Sheffield Hadfields","373","1000","1000"
"27007","Ure","Westwick","915","1100","1100"
"27008","Swale","Leckby Topcliffe","1346","840","870"
"27009","Ouse","Skelton","3315","900","920"
"27010","Hodge Beck","Bransdale Weir","19","990","1000"
"27011","Washburn","Lindley Wood Reservoir","87","1000","1000"
"27012","Hebden Water","High Greenwood","36","1400","1400"
"27013","Ewden Beck","More Hall Reservoir","26","1100","1200"
"27014","Rye","Little Habton","679","820","850"
"27015","Derwent","Stamford Bridge","1634","760","780"
"27016","Little Don","Underbank Reservoir","39","1200","1200"
"27017","Loxley","Damflask Reservoir","44","1100","1100"
"27018","Ryburn","Ryburn Reservoir","11","1400","1300"
"27019","Booth Dean Clough","Booth Wood Mill","16","1400","1400"
"27020","Scout Dike Stream","Scout Dike Resevoir","15","1000","1000"
"27021","Don","Doncaster","1256","800","800"
"27022","Don","Rotherham Weir","826","860","860"
"27023","Dearne","Barnsley Weir","119","770","760"
"27024","Swale","Richmond","381","1200","1300"
"27025","Rother","Woodhouse Mill","352","760","760"
"27026","Rother","Whittington","165","810","800"
"27027","Wharfe","Ilkley","443","1400","1400"
"27028","Aire","Armley","692","1000","1000"
"27029","Calder","Elland","342","1300","1300"
"27030","Dearne","Adwick","311","700","710"
"27031","Colne","Colne Bridge","245","1100","1100"
"27032","Hebden Beck","Hebden","22","1400","1500"
"27033","Sea Cut","Scarborough","33","750","770"
"27034","Ure","Kilgram Bridge","510","1300","1300"
"27035","Aire","Kildwick Bridge","282","1200","1100"
"27038","Costa Beck","Gatehouses","8","720","720"
"27040","Doe Lea","Staveley","68","710","720"
"27041","Derwent","Buttercrambe","1586","770","780"
"27042","Dove","Kirkby Mills","59","900","950"
"27043","Wharfe","Addingham","427","1400","1400"
"27044","Blackfoss Beck","Sandhills Bridge","47","650","680"
"27047","Snaizeholme Beck","Low Houses","10","1700","1800"
"27048","Derwent","West Ayton","127","840","850"
"27049","Rye","Ness","239","840","880"
"27050","Esk","Sleights","308","880","910"
"27051","Crimple","Burn Bridge","8","860","860"
"27052","Whitting","Sheepbridge","50","830","820"
"27053","Nidd","Birstwith","218","1200","1200"
"27054","Hodge Beck","Cherry Farm","37","950","980"
"27055","Rye","Broadway Foot","132","880","940"
"27056","Pickering Beck","Ings Bridge","69","830","850"
"27057","Seven","Normanby","122","880","900"
"27058","Riccal","Crook House Farm","58","860","860"
"27059","Laver","Ripon Laver Weir","88","910","890"
"27060","Kyle","Newton On Ouse","168","620","640"
"27061","Colne","Longroyd Bridge","72","1300","1300"
"27062","Nidd","Skip Bridge","516","950","950"
"27063","Dibb","Grimwith Reservoir","26","1400","1300"
"27064","Went","Walden Stubbs","84","610","620"
"27065","Holme","Huddersfield Queens Mill","97","1200","1200"
"27066","Blackburn Brook","Ashlowes","43","750","740"
"27067","Sheaf","Highfield Road","49","890","860"
"27068","Ryburn","Ripponden","33","1400","1300"
"27069","Wiske","Kirby Wiske","216","630","650"
"27071","Swale","Crakehill","1363","840","870"
"27072","Worth","Keighley","72","1200","1200"
"27073","Brompton Beck","Snainton Ings","13","720","720"
"27074","Spen Beck","Northorpe","46","790","820"
"27075","Bedale Beck","Leeming","160","730","740"
"27076","Bielby Beck","Thornton Lock","103","700","720"
"27077","Bradford Beck","Shipley","58","930","930"
"27079","Calder","Methley","930","1000","1000"
"27080","Aire","Oulton Lemonroyd","865","980","970"
"27081","Oulton Beck","Oulton Farrer Lane","25","680","660"
"27082","Cundall Beck","Bat Bridge","24","640","630"
"27083","Foss","Huntington","118","640","640"
"27084","Eastburn Beck","Crosshills","43","1100","1100"
"27085","Cod Beck","Dalton Bridge","209","700","710"
"27086","Skell","Ripon Alma Weir","120","900","880"
"27087","Derwent","Low Marishes","458","740","750"
"27088","Calder","Mytholmroyd","172","1400","1400"
"27089","Wharfe","Tadcaster","818","1100","1100"
"27090","Swale","Catterick Bridge","499","1100","1200"
"27091","Crimple","Blackstones","77","750","770"
"27092","Esk","Briggswath","325","880","900"
"27094","Wiske","Romanby Viewly Bridge","158","640","660"
"27095","Pickering Beck","Pickering","66","840","850"
"27096","Wharfe","Netherside Hall","215","1600","1600"
"27097","Aire","Bingley","465","1100","1100"
"27098","Calder","Dewsbury","697","1100","1100"
"27099","Derwent","Malton A64 Road Bridge","1360","780","800"
"28001","Derwent","Yorkshire Bridge","126","1400","1400"
"28002","Blithe","Hamstall Ridware","163","780","780"
"28003","Tame","Water Orton","408","730","730"
"28004","Tame","Lea Marston","795","720","720"
"28005","Tame","Elford","1475","690","700"
"28006","Trent","Great Haywood","325","800","810"
"28007","Trent","Shardlow","4400","750","760"
"28008","Dove","Rocester Weir","399","1000","1000"
"28009","Trent","Colwick","7486","760","770"
"28010","Derwent","Longbridge Weir","1054","1000","1000"
"28011","Derwent","Matlock Bath","690","1100","1100"
"28012","Trent","Yoxall","1229","750","760"
"28014","Sow","Milford","591","710","740"
"28015","Idle","Mattersey","529","650","650"
"28016","Ryton","Serlby Park","231","650","630"
"28017","Devon","Cotham","284","590","590"
"28018","Dove","Marston on Dove","883","940","940"
"28019","Trent","Drakelow Park","3072","710","720"
"28020","Churnet","Rocester","236","960","950"
"28021","Derwent","Draycott","1175","980","980"
"28022","Trent","North Muskham","8231","750","760"
"28023","Wye","Ashford","154","1200","1200"
"28024","Wreake","Syston Mill","414","630","650"
"28025","Sence","Ratcliffe Culey","169","650","680"
"28026","Anker","Polesworth","368","650","680"
"28027","Erewash","Sandiacre","182","710","720"
"28028","Soar","Wanlip","480","640","660"
"28029","Kingston Brook","Kingston Hall","57","600","610"
"28030","Black Brook","Onebarrow","8","730","740"
"28031","Manifold","Ilam","149","1100","1100"
"28032","Meden","Church Warsop","63","700","710"
"28033","Dove","Hollinsclough","8","1300","1400"
"28035","Leen","Triumph Road Nottingham","111","690","690"
"28036","Poulter","Twyford Bridge","128","650","660"
"28037","Derwent","Mytham Bridge","203","1300","1300"
"28038","Manifold","Hulme End","46","1200","1200"
"28039","Rea","Calthorpe Park","74","780","790"
"28040","Trent","Stoke-On-Trent","53","860","880"
"28041","Hamps","Waterhouses","35","1100","1100"
"28043","Derwent","Chatsworth","335","1200","1200"
"28044","Poulter","Cuckney","32","670","680"
"28045","Meden/Maun","Bothamsall / Haughton","263","680","680"
"28046","Dove","Izaak Walton","83","1100","1200"
"28047","Oldcotes Dyke","Blyth","85","650","610"
"28048","Amber","Wingfield Park","139","800","780"
"28049","Ryton","Worksop","77","660","650"
"28050","Torne","Auckley","136","620","600"
"28052","Sow","Great Bridgeford","163","750","790"
"28053","Penk","Penkridge","272","700","710"
"28055","Ecclesbourne","Duffield","50","850","840"
"28056","Rothley Brook","Rothley","94","670","690"
"28058","Henmore Brook","Ashbourne","42","900","870"
"28059","Maun","Mansfield STW","29","720","720"
"28060","Dover Beck","Lowdham","69","680","690"
"28061","Churnet","Basford Bridge","139","980","980"
"28066","Cole","Coleshill","130","720","730"
"28067","Derwent","Church Wilne","1178","980","980"
"28070","Burbage Brook","Burbage","9","1000","990"
"28072","Greet","Southwell","46","660","670"
"28074","Soar","Kegworth","1292","640","660"
"28079","Meece Brook","Shallowford","86","760","790"
"28080","Tame","Lea Marston Lakes","799","720","720"
"28081","Tame","Bescot","169","710","710"
"28082","Soar","Littlethorpe","184","640","670"
"28083","Trent","Darlaston","195","820","830"
"28085","Derwent","St Mary's Bridge","1054","1000","1000"
"28086","Sence","South Wigston","113","640","670"
"28087","Tame","Perry Park","196","710","710"
"28091","Ryton","Blyth","231","650","630"
"28093","Soar","Pillings Lock","1108","640","660"
"28095","Tame","Hopwas Bridge","1422","690","700"
"28102","Blythe","Whitacre","194","700","710"
"28103","Henmore Brook","Carsington Outflow","16","930","880"
"28109","Sow","Walkmill","11","750","820"
"28110","Oldacre Brook","Brocton","3","730","740"
"28115","Maun","Mansfield the Dykes","32","710","720"
"28116","Maun","Whitewater Bridge","157","680","680"
"28117","Derwent","Whatstandwell","755","1100","1100"
"28118","Meden","Perlethorpe","97","680","690"
"29001","Waithe Beck","Brigsley","108","690","730"
"29002","Great Eau","Claythorpe Mill","77","690","720"
"29003","Lud","Louth","55","700","730"
"29004","Ancholme","Bishopbridge","55","620","640"
"29005","Rase","Bishopbridge","67","640","660"
"29009","Ancholme","Toft Newton","27","620","640"
"30001","Witham","Claypole Mill","298","620","630"
"30002","Barlings Eau","Langworth Bridge","210","610","620"
"30003","Bain","Fulsby Lock","197","670","700"
"30004","Lymn","Partney Mill","62","690","700"
"30005","Witham","Saltersford Total","126","650","650"
"30006","Slea","Leasingham Mill","48","600","630"
"30011","Bain","Goulceby Bridge","63","700","740"
"30012","Stainfield Beck","Cream Poke Farm","37","630","660"
"30013","Heighington Beck","Heighington","21","610","610"
"30014","Pointon Lode","Pointon","12","590","620"
"30015","Cringle Brook","Stoke Rochford","51","660","660"
"30017","Witham","Colsterworth","51","640","650"
"30033","Brant","Brant Broughton","66","570","610"
"31001","Eye Brook","Eye Brook Reservoir","60","660","660"
"31002","Glen","Kates Br & King St Br","342","610","620"
"31004","Welland","Tallington Total","717","630","640"
"31005","Welland","Tixover","417","640","640"
"31006","Gwash","Belmesthorpe","150","630","640"
"31007","Welland","Barrowden","412","640","640"
"31008","East Glen","Manthorpe","136","610","630"
"31009","West Glen","Shillingthorpe","173","620","620"
"31010","Chater","Fosters Bridge","69","640","640"
"31013","East Glen","Irnham","72","620","650"
"31016","North Brook","Empingham","37","630","640"
"31021","Welland","Ashley","251","640","650"
"31022","Jordan","Market Harborough","21","650","650"
"31023","West Glen","Easton Wood","4","640","650"
"31024","Holywell Brook","Holywell","22","610","610"
"31025","Gwash South Arm","Manton","25","660","680"
"31026","Egleton Brook","Egleton","3","650","650"
"31028","Gwash","Church Bridge","77","650","650"
"32001","Nene","Orton","1634","620","620"
"32002","Willow Brook","Fotheringhay","90","600","610"
"32003","Harpers Brook","Old Mill Bridge","74","620","620"
"32004","Ise Brook","Harrowden","194","640","630"
"32006","Nene/Kislingbury","Upton Total","223","650","680"
"32007","Nene/Brampton","St Andrews Total","233","650","640"
"32008","Nene/Kislingbury","Dodford","107","660","690"
"32010","Nene","Wansford","1530","620","630"
"32012","Wootton Brook","Lady Bridge","53","620","630"
"32019","Slade Brook","Kettering","58","640","630"
"32020","Wittering Brook","Wansford","47","570","590"
"32029","Flore","Experimental Catchment","7","620","650"
"32031","Wootton Brook","Wootton Park","74","620","630"
"33001","Bedford Ouse","Brownshill Staunch","3030","600","610"
"33002","Bedford Ouse","Bedford","1460","640","650"
"33003","Cam","Bottisham","803","570","580"
"33004","Lark","Isleham","466","590","600"
"33005","Bedford Ouse","Thornborough Mill","389","660","670"
"33006","Wissey","Northwold Total","275","660","670"
"33007","Nar","Marham","153","680","690"
"33009","Bedford Ouse","Harrold Mill","1320","640","660"
"33011","Little Ouse","County Bridge Euston","129","600","600"
"33012","Kym","Meagre Farm","138","590","610"
"33013","Sapiston","Rectory Bridge","206","590","610"
"33014","Lark","Temple","272","590","610"
"33015","Ouzel","Willen","277","640","660"
"33016","Cam","Jesus Lock","762","570","580"
"33017","Bedford Ouse","St Ives","2860","600","620"
"33018","Tove","Cappenham Bridge","138","660","700"
"33019","Thet","Melford Bridge","316","620","640"
"33020","Alconbury Brook","Brampton","202","560","610"
"33021","Rhee","Burnt Mill","303","560","570"
"33022","Ivel","Blunham","541","580","590"
"33023","Lea Brook","Beck Bridge","102","580","600"
"33024","Cam","Dernford","198","590","600"
"33025","Babingly","West Newton Mill","40","690","700"
"33026","Bedford Ouse","Offord","2570","610","620"
"33027","Rhee","Wimpole","119","560","570"
"33028","Flit","Shefford","120","600","600"
"33029","Stringside","Whitebridge","99","630","630"
"33030","Clipstone Brook","Clipstone","39","640","650"
"33031","Broughton Brook","Broughton","67","630","620"
"33032","Heacham","Heacham","59","690","690"
"33033","Hiz","Arlesey","108","600","620"
"33034","Little Ouse","Abbey Heath","689","610","620"
"33035","Ely Ouse","Denver Complex","3430","590","600"
"33037","Bedford Ouse","Newport Pagnell Total","800","650","670"
"33039","Bedford Ouse","Roxton","1660","630","640"
"33040","Rhee","Ashwell","2","",""
"33044","Thet","Bridgham","278","620","640"
"33045","Wittle","Quidenham","28","610","630"
"33046","Thet","Redbridge","145","620","660"
"33048","Larling Brook","Stonebridge","21","640","600"
"33049","Stanford Water","Buckenham Tofts","44","650","640"
"33050","Snail","Fordham","61","580","590"
"33051","Cam","Chesterford","141","600","610"
