"Station number","River","Location","Catchment area","Year opened","Year closed","Peak flow data","Daily data","Live data","Factors affecting runoff"
"39039","Wye","High Wycombe","68","1968","","No","Yes","No","GI"
"39040","Thames","West Mill Cricklade","185","1972","","No","Yes","No","PGEI"
"39042","Leach","Priory Mill Lechlade","77","1972","","Yes","Yes","No","PE"
"39043","Kennet","Knighton","295","1962","","No","Yes","No","G"
"39044","Hart","Bramshill House","84","1972","","Yes","Yes","Yes","E"
"39046","Thames","Sutton Courtenay","3414","1974","","No","Yes","Yes","PEI"
"39049","Silk Stream","Colindeep Lane","29","1973","","Yes","Yes","Yes","N"
"39051","Sor Brook","Adderbury","106","1967","1988","No","Yes","No","PEI"
"39052","The Cut","Binfield","50","1957","","Yes","Yes","No","EI"
"39053","Mole","Horley","90","1961","","Yes","Yes","No","PE"
"39054","Mole","Gatwick Airport","32","1961","","No","Yes","No","PE"
"39055","Yeading Brook West","North Hillingdon","18","1974","1995","Yes","Yes","No",""
"39056","Ravensbourne","Catford Hill","120","1974","","Yes","Yes","Yes","G"
"39057","Crane","Cranford Park","62","1974","","Yes","Yes","Yes","N"
"39058","Pool River","Winsford Road","38","1974","","No","Yes","Yes","G"
"39061","Letcombe Brook","Letcombe Bassett","4","1971","","No","Yes","Yes","G"
"39065","Ewelme Brook","Ewelme","13","1970","","No","Yes","Yes","N"
"39068","Mole","Castle Mill","316","1971","","No","Yes","Yes","GE"
"39069","Mole","Kinnersley Manor","142","1972","","No","Yes","No","E"
"39071","Thames","Ewen","64","1979","","No","Yes","No","G"
"39072","Thames","Royal Windsor Park","7046","1979","","No","Yes","Yes","RPGEI"
"39073","Churn","Cirencester","84","1979","","No","Yes","Yes","GE"
"39074","Ampney Brook","Sheepen Bridge","74","1980","","No","Yes","No","P"
"39075","Marston Meysey Brook","Whetstone Bridge","25","1980","","No","Yes","No","G"
"39076","Windrush","Worsham","296","1976","","No","Yes","No","PN"
"39077","Og","Marlborough Poulton Fm","59","1980","","No","Yes","No","G"
"39078","Wey (North)","Farnham","191","1978","","No","Yes","No","GE"
"39079","Wey","Weybridge","1008","1979","","No","Yes","Yes","PG"
"39081","Ock","Abingdon","234","1979","","Yes","Yes","Yes","GE"
"39084","Brent","Brent Cross","36","1980","","No","Yes","Yes","GI"
"39085","Wandle","Wandle Park","176","1936","1960","No","Yes","No",""
"39086","Gatwick Stream","Gatwick Link","34","1975","","Yes","Yes","No","E"
"39087","Ray","Water Eaton","84","1974","","No","Yes","No","GE"
"39088","Chess","Rickmansworth","105","1974","","Yes","Yes","Yes","PGE"
"39089","Gade","Bury Mill","48","1968","","Yes","Yes","Yes","G"
"39090","Cole","Inglesham","140","1976","","Yes","Yes","No","G"
"39091","Misbourne","Quarrendon Mill","66","1978","1985","No","Yes","No","G"
"39092","Dollis Brook","Hendon Lane Bridge","25","1952","2014","No","Yes","No","GI"
"39093","Brent","Monks Park","118","1939","","Yes","Yes","Yes","S"
"39094","Crane","Marsh Farm","81","1979","","No","Yes","Yes","G"
"39095","Quaggy","Manor House Gardens","34","1961","2017","No","Yes","No","GI"
"39096","Wealdstone Brook","Wembley","22","1976","","Yes","Yes","Yes","N"
"39097","Thames","Buscot","997","1979","1998","No","Yes","No","GE"
"39098","Pinn","Uxbridge","33","1985","2004","No","Yes","No","N"
"39099","Ampney Brook","Ampney St Peter","45","1983","","No","Yes","No","GI"
"39100","Swill Brook","Oaksey","53","1982","","No","Yes","No","N"
"39101","Aldbourne","Ramsbury","53","1982","","No","Yes","No","N"
"39102","Misbourne","Denham Lodge","95","1985","","No","Yes","Yes","GE"
"39103","Kennet","Newbury","548","1989","","No","Yes","No","G"
"39104","Mole","Esher","470","1984","","No","Yes","Yes",""
"39105","Thame","Wheatley","534","1989","","No","Yes","Yes","GE"
"39106","Mole","Leatherhead","371","1986","","No","Yes","Yes","GE"
"39107","Hogsmill","Ewell","34","1988","2010","No","Yes","No",""
"39108","Churn","Perrott's Brook","59","1990","","No","Yes","No","N"
"39109","Coln","Fossebridge","82","1990","","No","Yes","No","G"
"39110","Coln","Fairford","130","1990","","No","Yes","No","E"
"39111","Thames","Staines","8120","1990","","No","Yes","No","PGI"
"39112","Letcombe Brook","Arabellas Lake","3","1992","","No","Yes","No","G"
"39113","Manor Farm Brook","Letcombe Regis","1","1992","","No","Yes","No","N"
"39114","Pang","Frilsham","90","1992","","No","Yes","No","G"
"39115","Pang","Bucklebury","109","1991","","No","Yes","No",""
"39116","Sulham Brook","Sulham","3","1991","","No","Yes","No","E"
"39117","Colne Brook","Hythe End","930","1991","","No","Yes","Yes","E"
"39118","Wey","Alton","45","1991","","No","Yes","No","G"
"39119","Wey","Kings Pond (Alton)","46","1991","","No","Yes","No","G"
"39120","Caker Stream","Alton","88","1991","","No","Yes","No","E"
"39121","Thames","Walton","9292","1991","","No","Yes","No",""
"39122","Cranleigh Waters","Bramley","110","1990","","No","Yes","Yes","E"
"39123","Blackwater","Farnborough","36","1996","","No","Yes","No","G"
"39125","Ver","Redbourn","63","1993","","No","Yes","Yes","E"
"39126","Red","Redbourn","19","1993","","No","Yes","Yes","E"
"39127","Misbourne","Little Missenden","47","1993","","No","Yes","Yes","G"
