Station number;Catchment area;Station level;Mean GDF;Maximum GDF;Base flow index;QMED;Maximum altitude;Woodland;Arable/horticultural;Grassland;Mountain/heath/bog;Urban extent;ASPBAR (°);BFIHOST (%);DPSBAR (m/km);LDP (km);PROPWET;URBCON1990;URBCON2000;URBEXT1990;URBEXT2000;URBLOC1990;URBLOC2000
201006;320;63;8.3;170;0.34;;340;0.028;0.02;0.84;0.1;0.0093;7;0.44;64;37;0.6;-1.7;;0.007;0.0026;0.41;
201007;148;6.4;4;94;0.5;83;630;0.0095;0.034;0.75;0.19;0.0098;310;0.46;98;32;0.61;-0.002;;0.0044;0.0004;;
201008;335;43;15;240;0.32;190;450;0.18;0.0043;0.53;0.15;0.0051;120;0.5;68;38;0.62;-0.002;;0.0021;0.0007;;
201009;440;40;16;300;0.42;270;680;0.059;0.014;0.61;0.32;0.0026;180;0.35;120;48;0.64;-0.002;;0.0016;0.0002;;
201010;1844;7;59;800;0.39;600;680;0.077;0.022;0.7;0.17;0.011;170;0.45;80;78;0.62;-2;;0.012;0.003;0.82;
202001;364;5.4;9.8;140;0.35;150;630;0.1;0.034;0.64;0.21;0.018;340;0.4;90;44;0.61;-2;0.84;0.015;0.0064;0.35;0.41
202002;273;7;7.9;170;0.47;150;680;0.05;0.026;0.7;0.21;0.015;340;0.43;99;37;0.61;-2;0.3;0.011;0.0044;0.38;0.12
203010;970;15;18;190;0.42;140;380;0.054;0.043;0.84;0.054;0.0092;85;0.4;76;76;0.57;-2;;0.011;0.0019;0.95;
203011;244;71;5.7;73;0.48;48;540;0.01;0.073;0.77;0.13;0.012;230;0.49;58;33;0.61;-2;;0.0062;0.0018;1.1;
203012;430;16;9.3;130;0.47;130;530;0.02;0.068;0.82;0.073;0.014;120;0.52;61;47;0.56;-2;0.77;0.023;0.0055;0.78;0.77
203017;316;13;5.4;150;0.41;76;670;0.014;0.11;0.79;0.057;0.021;300;0.45;87;56;0.53;-2;0.8;0.024;0.0095;0.48;0.49
203018;278;13;6.1;120;0.54;82;470;0.03;0.067;0.77;0.045;0.081;260;0.42;53;34;0.52;-2;0.84;0.03;0.025;0.74;0.86
203019;126;14;3.2;45;0.44;34;460;0.0055;0.062;0.78;0.15;0.012;95;0.46;49;28;0.6;-2;;0.02;0.0036;0.89;
203020;304;13;8.7;120;0.45;110;570;0.034;0.048;0.73;0.17;0.018;88;0.45;75;47;0.55;-2;0.81;0.023;0.0082;0.55;0.55
203021;126;35;3.1;97;0.32;;470;0.07;0.037;0.73;0.14;0.015;250;0.35;65;33;0.54;-0.002;;0.0044;0.0019;;
203022;183;50;4.8;71;0.41;59;380;0.11;0.011;0.76;0.11;0.007;84;0.46;78;29;0.58;-2;;0.0056;0.0009;0.83;
203024;171;14;3.7;60;0.45;51;350;0.028;0.086;0.85;0.025;0.012;53;0.36;77;33;0.53;-2;;0.0099;0.0038;0.5;
203025;167;16;2.8;40;0.39;38;360;0.042;0.053;0.82;0.035;0.036;330;0.39;72;36;0.53;-2;0.79;0.028;0.019;0.65;0.69
203026;45;56;0.78;21;0.43;16;320;0.02;0.028;0.78;0.14;0.023;270;0.38;50;20;0.52;-2;;0.013;0.0038;0.098;
203027;177;35;5;110;0.55;89;440;0.061;0.043;0.72;0.12;0.057;230;0.5;61;32;0.61;-2;0.86;0.033;0.025;0.27;0.27
203028;101;17;2.8;71;0.36;65;460;0.086;0.026;0.57;0.29;0.032;51;0.4;60;27;0.61;-2;;0.014;0.0033;0.58;
203029;58;59;1.6;51;0.5;;410;0.048;0.073;0.77;0.047;0.062;250;0.45;58;14;0.52;-2;0.82;0.029;0.023;0.29;0.35
203033;102;77;2.7;70;0.36;65;670;0.011;0.033;0.83;0.12;0.004;330;0.47;120;18;0.53;-0.002;;0.0049;0.0012;;
203038;8;200;0.33;7;0.29;;640;;;0.46;0.56;;320;0.33;210;4.3;0.53;-0.002;;0;0;;
203039;99;84;2.8;36;0.41;;540;0.012;0.044;0.77;0.17;0.013;220;0.44;73;21;0.61;-0.002;;0.0042;0.0011;;
203040;5210;7;92;370;0.65;;670;0.029;0.068;0.73;0.07;0.026;350;0.44;55;160;0.54;-2;0.8;0.024;0.0096;0.89;0.89
203042;55;25;1.1;43;0.35;39;380;0.019;0.046;0.86;0.051;0.03;280;0.34;42;19;0.52;-2;0.76;0.023;0.0052;0.42;0.29
203043;94;36;1.8;36;0.35;31;280;0.024;0.024;0.93;0.019;0.0081;92;0.4;78;24;0.59;-2;;0.009;0.0021;0.32;
203046;23;42;0.37;10;0.51;11;320;0.029;0.1;0.77;0.063;0.038;200;0.43;58;11;0.52;-0.002;;0;0;;
203049;29;62;0.62;18;0.42;23;470;0.025;0.033;0.85;0.064;0.042;290;0.37;58;14;0.52;-0.002;;0;0;;
203050;14;11;0.21;4.8;0.51;;130;0.02;0.22;0.56;0.14;0.073;230;0.46;32;7.8;0.61;-2;0.74;0.035;0.026;0.38;0.37
203092;222;75;5.7;73;0.49;;540;0.0088;0.077;0.77;0.13;0.012;240;0.5;60;30;0.61;-2;;0.0068;0.002;1;
203093;707;26;20;260;0.49;200;540;0.035;0.061;0.75;0.12;0.032;220;0.46;56;61;0.57;-2;0.82;0.024;0.011;0.67;0.65
203097;305;17;5.8;97;0.44;;670;0.015;0.11;0.8;0.056;0.021;300;0.45;88;55;0.53;-2;0.8;0.024;0.0098;0.46;0.46
204001;299;25;6.9;89;0.51;63;540;0.1;0.12;0.62;0.15;0.014;250;0.56;44;47;0.61;-0.002;;0.0084;0.0026;0.57;
205003;445;9;;;;59;530;0.027;0.12;0.74;0.044;0.066;300;0.45;60;70;0.52;-2;0.86;0.037;0.031;0.41;0.41
205004;492;5.1;8.3;150;0.43;75;530;0.03;0.12;0.73;0.045;0.071;300;0.46;60;78;0.52;-2;0.85;0.038;0.032;0.53;0.51
205005;74;31;1.2;27;0.43;15;180;0.029;0.1;0.82;0.04;0.009;230;0.42;56;19;0.52;-0.002;;0;0;;
205008;85;81;1.7;39;0.35;27;530;0.015;0.069;0.87;0.044;0.0056;340;0.4;87;19;0.53;-2;;0.013;0.0013;0.75;
205010;190;39;2.6;200;0.29;87;530;0.016;0.099;0.84;0.034;0.017;310;0.42;76;36;0.53;-2;0.78;0.022;0.0065;0.75;0.65
205011;187;9;3.6;62;0.36;41;300;0.039;0.075;0.8;0.059;0.027;85;0.44;66;30;0.53;-2;0.74;0.024;0.011;0.94;0.9
205015;19;14;0.28;5.2;0.44;;140;0.026;0.14;0.63;0.032;0.18;42;0.49;24;13;0.52;-2;0.91;0.058;0.077;0.46;0.4
205020;62;4.9;0.81;27;0.42;18;210;0.015;0.27;0.59;0.034;0.092;130;0.44;65;16;0.52;-2;0.84;0.042;0.046;0.84;0.78
205029;203;30;3.2;46;0.38;;530;0.015;0.12;0.82;0.032;0.022;320;0.42;70;44;0.53;-2;0.78;0.023;0.0081;0.74;0.68
205034;0;;;;;0.12;240;;;1.1;0.0039;;170;0.41;54;4.4;0.52;0;;0;0;;
205101;13;;;;;9.9;370;0.004;0.018;0.23;0.035;0.66;66;0.41;55;5.5;0.52;-2;0.93;0.2;0.42;0.93;0.86
205105;13;8.6;0.19;3.1;0.59;;180;0.067;0.038;0.37;0.03;0.49;270;0.58;61;7.4;0.52;-2;0.88;0.15;0.26;0.81;0.76
206001;120;16;2;36;0.5;21;350;0.0082;0.089;0.87;0.027;0.011;270;0.57;76;31;0.53;-2;;0.0095;0.0036;1.1;
206002;108;11;0.7;15;0.35;;190;0.015;0.17;0.79;0.025;0.0096;;;;;;;;;;;
206004;25;9;;;;18;540;0.032;0.059;0.74;0.11;0.04;69;0.58;97;15;0.53;-2;0.67;0.046;0.02;0.59;0.63
206006;14;;;;;15;840;0.036;0.0002;0.3;0.68;;150;0.34;270;7;0.53;-0.002;;0;0;;
236005;314;53;8.3;130;0.38;110;380;0.13;0.011;0.7;0.15;0.0054;240;0.42;75;46;0.58;-2;;0.0067;0.0012;0.65;
236007;166;44;5.7;37;0.51;25;400;0.17;0.0033;0.71;0.1;0.0045;91;0.49;100;47;0.6;-0.002;;0.002;0.0006;;
236051;159;50;3.9;71;0.39;;310;0.021;0.017;0.92;0.039;0.011;270;0.47;71;27;0.6;-2;;0.016;0.0041;0.73;
