Station number;Catchment area;Station level;Mean GDF;Maximum GDF;Base flow index;QMED;Maximum altitude;Woodland;Arable/horticultural;Grassland;Mountain/heath/bog;Urban extent;ASPBAR (°);BFIHOST (%);DPSBAR (m/km);LDP (km);PROPWET;URBCON1990;URBCON2000;URBEXT1990;URBEXT2000;URBLOC1990;URBLOC2000
68005;207;45;1.6;23;0.54;14;220;0.049;0.25;0.67;0.0001;0.023;63;0.5;27;29;0.34;0.56;0.74;0.0052;0.0074;0.86;0.89
68006;150;66;2.4;65;0.48;53;560;0.076;0.045;0.73;0.074;0.064;260;0.42;110;36;0.5;0.73;0.85;0.025;0.029;0.39;0.41
68007;148;16;1.9;43;0.55;20;180;0.12;0.27;0.48;0.0038;0.12;240;0.51;23;33;0.39;0.53;0.7;0.011;0.02;0.95;0.99
68010;18;5.5;;;;5.5;100;0.059;0.22;0.33;;0.39;11;0.43;29;8.9;0.38;0.85;0.89;0.2;0.21;0.84;0.89
68011;37;39;0.46;18;0.33;6.1;82;0.14;0.34;0.32;0.01;0.17;120;0.44;12;13;0.37;0.51;0.64;0.011;0.021;1.3;1.4
68015;49;17;0.53;19;0.44;;220;0.063;0.27;0.64;;0.027;360;0.52;37;21;0.34;0.31;0.55;0.0091;0.011;1.2;1
68018;145;78;2.6;46;0.53;41;560;0.077;0.038;0.74;0.078;0.052;260;0.41;120;33;0.5;0.71;0.84;0.018;0.023;0.36;0.37
68020;156;4.1;1.1;21;0.49;15;220;0.064;0.29;0.6;0.0001;0.049;290;0.54;34;33;0.35;0.52;0.68;0.012;0.017;0.93;0.91
68021;18;;0.11;3.2;0.35;3.8;100;0.16;0.11;0.38;;0.34;360;0.51;25;9.2;0.38;0.83;0.89;0.17;0.17;0.86;0.88
68044;73;140;1.8;100;0.49;44;560;0.073;0.0021;0.76;0.14;0.0066;230;0.37;150;18;0.52;;;0.0003;0.0011;;
69001;679;10;14;240;0.56;;640;0.1;0.019;0.42;0.18;0.25;280;0.42;110;82;0.51;0.76;0.88;0.11;0.15;0.62;0.64
69002;559;24;18;480;0.49;;480;0.11;0.029;0.51;0.066;0.26;180;0.43;91;62;0.54;0.77;0.85;0.11;0.16;0.82;0.83
69003;73;26;1.8;41;0.53;38;250;0.17;0.027;0.21;;0.57;230;0.51;45;22;0.57;0.82;0.9;0.29;0.39;0.95;0.96
69004;78;130;1.3;53;0.39;;630;0.048;0.0026;0.28;0.6;0.0075;270;0.31;160;16;0.54;;;0.0006;0.0015;;
69005;152;9;3.3;34;0.5;31;160;0.078;0.18;0.37;0.042;0.33;180;0.39;20;29;0.41;0.77;0.86;0.11;0.15;1;1.1
69006;258;13;4.3;46;0.57;38;480;0.15;0.088;0.56;0.0041;0.19;300;0.51;56;50;0.43;0.65;0.82;0.045;0.079;1.1;1
69007;660;15;14;170;0.55;160;640;0.1;0.016;0.43;0.19;0.23;280;0.41;110;72;0.53;0.75;0.88;0.095;0.14;0.6;0.61
69008;59;57;0.83;12;0.53;9.1;480;0.13;0.022;0.7;0.0037;0.14;290;0.55;87;26;0.52;0.62;0.8;0.031;0.063;0.59;0.54
69011;67;35;;;;16;410;0.14;0.018;0.47;0.0051;0.35;310;0.41;51;22;0.52;0.72;0.88;0.12;0.18;0.65;0.66
69012;73;59;1.3;17;0.61;17;470;0.13;0.028;0.6;0.0081;0.22;320;0.55;82;25;0.52;0.74;0.85;0.075;0.11;1;0.91
69013;45;13;0.51;8.7;0.59;;82;0.079;0.094;0.26;0.018;0.55;330;0.48;12;18;0.39;0.75;0.9;0.2;0.27;1.1;1.2
69015;156;74;3.4;64;0.51;52;630;0.085;0.0087;0.36;0.45;0.063;260;0.37;150;29;0.53;0.66;0.78;0.021;0.033;0.67;0.67
69017;183;74;3.8;70;0.53;59;640;0.1;0.015;0.68;0.13;0.055;290;0.48;150;29;0.52;0.54;0.7;0.013;0.025;0.79;0.79
69019;25;15;0.3;6.2;0.48;5.7;130;0.084;0.028;0.29;0.012;0.58;190;0.35;22;12;0.44;0.77;0.89;0.24;0.35;1.1;1
69020;58;31;0.88;37;0.47;23;380;0.19;0.024;0.24;0.004;0.53;240;0.38;59;23;0.55;0.82;0.91;0.27;0.37;0.83;0.85
69022;101;140;3.1;76;0.42;82;480;0.064;0.014;0.71;0.053;0.12;240;0.46;120;18;0.55;0.6;0.72;0.047;0.076;0.76;0.77
69023;186;63;5;110;0.53;71;480;0.08;0.034;0.49;0.091;0.26;220;0.5;93;34;0.57;0.77;0.85;0.12;0.16;0.85;0.84
69024;145;52;3.3;68;0.43;60;460;0.14;0.027;0.46;0.083;0.27;160;0.33;80;24;0.51;0.8;0.88;0.12;0.17;0.57;0.61
69025;557;24;;;;270;480;0.11;0.029;0.51;0.066;0.26;190;0.43;91;60;0.54;0.77;0.85;0.11;0.16;0.82;0.83
69027;150;43;4.1;62;0.55;62;580;0.12;0.011;0.34;0.23;0.25;260;0.37;120;48;0.54;0.77;0.86;0.11;0.15;0.61;0.64
69028;517;34;12;190;0.55;140;640;0.1;0.015;0.47;0.24;0.14;270;0.41;140;52;0.53;0.74;0.84;0.056;0.082;0.6;0.64
69030;154;7.4;2.6;33;0.53;27;180;0.087;0.31;0.24;0.015;0.34;150;0.47;24;25;0.38;0.79;0.87;0.14;0.16;0.9;0.9
69032;90;8.9;1.4;17;0.54;17;96;0.097;0.16;0.24;0.011;0.48;320;0.49;13;15;0.37;0.88;0.91;0.26;0.27;1;0.96
69033;100;3.1;2.3;14;0.66;;96;0.087;0.17;0.24;0.0094;0.48;330;0.5;13;20;0.37;0.88;0.9;0.27;0.27;1;0.97
69035;155;75;5.1;210;0.33;;480;0.1;0.018;0.65;0.047;0.16;200;0.42;110;32;0.54;0.67;0.77;0.061;0.093;0.72;0.76
69037;2030;2.5;37;210;0.56;;640;0.11;0.059;0.43;0.086;0.29;250;0.44;75;98;0.46;0.77;0.87;0.12;0.17;0.82;0.84
69039;56;42;1.2;13;0.39;;380;0.21;0.028;0.27;0.0047;0.47;230;0.4;66;21;0.55;0.82;0.9;0.23;0.31;0.92;0.94
69041;113;77;3.4;46;0.56;49;580;0.11;0.0083;0.34;0.29;0.19;250;0.37;140;35;0.55;0.75;0.85;0.079;0.12;0.43;0.48
69042;2;280;0.071;1.4;0.42;;480;;;0.39;0.54;;160;0.4;140;2.4;0.57;;;0;0;;
69043;72;33;2.2;45;0.6;28;250;0.17;0.028;0.21;;0.57;230;0.51;45;21;0.57;0.81;0.9;0.28;0.39;0.96;0.96
69044;140;80;3.5;120;0.43;110;480;0.087;0.018;0.67;0.052;0.14;220;0.43;120;31;0.54;0.64;0.75;0.055;0.087;0.79;0.81
69045;257;19;3.9;32;0.61;;480;0.15;0.088;0.56;0.0041;0.19;300;0.51;56;49;0.43;0.65;0.82;0.046;0.079;1.1;1
69046;37;;;;;23;410;0.23;0.0082;0.58;0.11;0.057;190;0.34;100;13;0.51;0.59;0.75;0.015;0.023;0.42;0.43
69047;15;;;;;9.3;470;0.029;0.0091;0.52;0.32;0.079;250;0.47;140;7.5;0.57;0.51;0.64;0.017;0.034;0.34;0.43
69048;41;;;;;17;490;0.11;0.0084;0.56;0.22;0.065;240;0.39;150;15;0.57;0.47;0.6;0.01;0.023;0.54;0.61
69803;111;;2.8;50;0.44;44;470;0.057;0.02;0.54;0.12;0.22;220;0.47;110;19;0.57;0.75;0.83;0.1;0.14;0.72;0.72
70001;39;110;0.38;15;0.67;;460;0.056;0.018;0.59;0.22;0.033;240;0.4;100;9.8;0.51;0.65;0.77;0.0059;0.0073;0.22;0.2
70002;198;4.4;4.3;72;0.52;45;460;0.089;0.19;0.41;0.03;0.26;260;0.46;49;44;0.51;0.76;0.86;0.1;0.13;0.9;0.89
70003;55;32;1.2;22;0.57;17;460;0.084;0.13;0.52;0.083;0.15;240;0.42;68;25;0.51;0.76;0.84;0.049;0.068;0.76;0.79
70004;74;6.9;1.9;54;0.48;28;380;0.082;0.13;0.56;0.035;0.19;290;0.46;51;30;0.51;0.78;0.84;0.075;0.097;0.97;1
70005;56;8.9;1.3;24;0.46;23;220;0.074;0.11;0.54;;0.27;270;0.47;37;27;0.51;0.77;0.84;0.11;0.15;0.75;0.8
71001;1145;9.5;34;760;0.34;630;690;0.093;0.03;0.71;0.086;0.068;220;0.37;95;100;0.56;0.74;0.82;0.025;0.038;0.88;0.87
71002;37;180;0.59;65;0.14;;550;0.18;0.0065;0.61;0.16;0.0075;160;0.29;110;12;0.6;;;0;0;;
71003;10;180;0.4;14;0.35;11;540;0.022;0.0011;0.41;0.55;0.01;150;0.28;160;6.8;0.6;;;0;0;;
71004;316;40;8.7;190;0.42;170;560;0.09;0.028;0.63;0.072;0.16;290;0.4;94;41;0.55;0.77;0.85;0.073;0.1;0.84;0.84
71005;11;190;0.35;8.8;0.21;;400;0.4;0.001;0.43;0.14;0.017;200;0.28;91;7.8;0.6;;;0;0;;
71006;456;39;14;280;0.31;220;690;0.064;0.029;0.8;0.061;0.033;200;0.37;88;75;0.61;0.67;0.75;0.0076;0.015;0.58;0.63
71008;261;42;8.9;250;0.32;220;550;0.1;0.023;0.67;0.19;0.012;170;0.33;120;42;0.6;;;0.0008;0.0021;;
71009;1053;31;33;650;0.34;530;690;0.083;0.028;0.71;0.093;0.069;220;0.37;97;79;0.57;0.75;0.83;0.026;0.039;0.74;0.74
71010;108;92;2.8;73;0.38;80;560;0.077;0.018;0.66;0.1;0.13;260;0.39;99;21;0.58;0.75;0.84;0.058;0.083;0.54;0.57
71011;204;120;7.4;140;0.25;120;690;0.042;0.0086;0.79;0.11;0.019;210;0.38;100;43;0.61;;0.67;0.0027;0.0071;;0.67
71013;40;98;1.2;26;0.44;28;400;0.078;0.037;0.54;0.1;0.22;320;0.42;95;12;0.51;0.68;0.82;0.093;0.14;0.74;0.71
