"Station_1";"Station_2";"Media";"Max";"Min";"lag0";"lag1";"lag2";"lag3";"lag4";"lag5";"lag5_10";"lag10"
10001;8009;69,5;320;20;0;0;0;0;0;0;20;0
10001;8010;81;315;10;0;0;0;0;0;0;18;1
10001;83802;67;330;1;0;1;0;0;3;0;19;1
10001;84001;82;321;3;0;0;0;1;0;0;22;0
10001;84003;90;311;4;0;0;0;0;1;0;18;0
10001;84004;82;311;4;0;0;0;0;1;0;16;0
10001;84005;168;363;4;0;0;0;0;1;0;17;1
10001;84006;179;311;4;0;0;0;0;1;0;15;0
10001;84012;123;311;13;0;0;0;0;0;0;16;0
10001;84015;156;311;6;0;0;0;0;0;0;21;0
10001;84019;74,5;319;0;1;0;0;0;0;0;13;0
10001;85002;95;272;13;0;0;0;0;0;0;13;0
10001;9001;110,5;336;0;4;1;0;0;0;0;11;0
10001;9002;90;336;0;3;1;0;1;0;0;12;0
10001;91802;87;299;12;0;0;0;0;0;0;15;0
10002;15008;95;334;0;1;3;0;0;1;0;8;0
10002;203024;196;335;26;0;0;0;0;0;0;15;0
10002;203025;236;334;21;0;0;0;0;0;0;15;0
10002;22001;230;307;1;0;1;0;0;0;1;11;0
10002;23001;185;363;5;0;0;0;0;0;1;12;1
10002;27007;142,5;298;4;0;0;0;0;1;0;13;0
10002;27009;134;309;4;0;0;0;0;1;0;13;0
10002;27026;142;363;4;0;0;0;0;1;0;13;0
10002;27035;23;363;1;0;1;0;0;1;0;11;0
10002;28003;61;154;1;0;1;0;1;0;0;14;0
10002;28024;175;313;1;0;1;1;1;1;0;11;0
10002;28052;62;296;1;0;2;0;0;0;0;13;0
10002;30001;193;313;1;0;2;0;1;0;0;12;0
10002;30005;177;279;0;1;1;0;0;1;0;13;0
10002;30014;175;279;1;0;1;1;1;0;0;12;0
10002;31002;218;360;0;1;1;0;1;1;0;12;0
10002;31004;83,5;313;0;1;0;0;2;0;0;13;0
10002;31005;147,5;313;0;1;0;1;1;0;0;13;0
10002;31010;95;249;0;1;1;1;0;1;0;11;0
10002;32002;121;259;1;0;1;1;0;1;0;12;0
10002;32004;95;272;1;0;3;0;1;0;0;11;0
10002;32007;37;245;1;0;2;0;0;1;0;11;0
10002;32008;50;255;1;0;2;0;0;1;0;10;0
10002;32010;45,5;283;0;1;1;0;1;1;0;10;0
10002;33012;175;360;0;1;0;0;0;0;0;12;0
10002;33019;244;321;7;0;0;0;0;0;0;14;0
10002;33021;48,5;298;0;1;0;0;0;0;1;12;1
10002;33023;72;321;1;0;1;0;0;0;1;11;0
10002;34007;236;321;1;0;1;0;0;0;0;12;0
10002;34008;155,5;319;3;0;0;0;1;0;0;13;0
10002;34012;125;306;7;0;0;0;0;0;0;14;0
10002;35004;68;299;1;0;1;0;0;0;1;13;0
10002;36003;136;322;1;0;1;0;0;1;0;13;0
10002;36004;153;322;1;0;1;0;0;1;0;13;1
10002;36009;191,5;322;1;0;1;0;0;1;0;14;0
10002;37003;64,5;336;1;0;1;0;0;1;0;14;1
10002;37007;74;299;2;0;0;1;0;1;0;13;0
10002;37009;72;299;1;0;1;0;0;0;0;14;0
10002;37013;71;310;2;0;0;1;0;1;0;13;2
10002;37019;112;276;4;0;0;0;0;1;0;14;0
10002;38001;58;299;1;0;1;0;0;2;0;12;0
10002;38004;63;283;1;0;1;0;0;1;0;10;0
10002;39001;50;294;3;0;0;0;1;0;1;13;0
10002;39002;65;293;2;0;0;1;1;0;0;13;0
10002;39006;65;340;4;0;0;0;0;1;0;14;1
