"River_St_1";"River_St_2";"KendalT value";"KendalT p.value";"ALL STATUS";"N_ties Station1";"N_ties Station2";"Number_data";"R_Ties_sum";"ID_Station_1";"ID_Station_2";"Num_Syncr_occ";"Num_Asyncr_occ";"KT_ Asyncrony";"KT_pvalue_Asy";"ASY STATUS";"KT_ Syncrony";"KT_pvalue_Sy";"SY STATUS";"Easting_1";"Northing_1";"Easting_2";"Northing_2"
;;"0.390769230769231";"0.00469126570158274";"DEP";"0";"1";"26";"0";"10001";"27001";"2";"24";"0.347826086956522";"0.0172566796672116";"IND";;;;"392436";"830912";"442802";"452991"
;;"0.152709359605911";"0.255032315576821";"IND";"0";"0";"29";"0";"10001";"27002";"3";"26";"0.144615384615385";"0.313954327988493";"IND";;;;"392436";"830912";"442215";"447311"
;;"0.547368421052632";"0.0004805754920576";"DEP";"0";"0";"20";"0";"10001";"27006";"0";"20";"0.547368421052632";"0.0004805754920576";"DEP";;;;"392436";"830912";"438931";"390954"
;;"0.254901960784314";"0.151922809384799";"IND";"0";"1";"18";"0";"10001";"27007";"1";"17";"0.235294117647059";"0.204899001525799";"IND";;;;"392436";"830912";"435599";"467047"
;;"0.0980392156862745";"0.600931133222836";"IND";"0";"0";"18";"0";"10001";"27008";"2";"16";"0.05";"0.824801238706967";"IND";;;;"392436";"830912";"441574";"474807"
;;"0.294117647058824";"0.0958749442148497";"IND";"0";"1";"18";"0";"10001";"27009";"1";"17";"0.279411764705882";"0.128788988344829";"IND";;;;"392436";"830912";"456845";"455373"
;;"0.0671936758893281";"0.67602209547773";"IND";"0";"1";"23";"0";"10001";"27010";"2";"21";"0.019047619047619";"0.928740741261735";"IND";;;;"392436";"830912";"462700";"494400"
;;"0.36551724137931";"0.00417492062708802";"DEP";"0";"0";"30";"0";"10001";"27021";"2";"28";"0.35978835978836";"0.00681611961660722";"DEP";;;;"392436";"830912";"456977";"403973"
;;"0.336842105263158";"0.0397621367006886";"IND";"0";"0";"20";"0";"10001";"27023";"1";"19";"0.309941520467836";"0.0683595086669992";"IND";;;;"392436";"830912";"434970";"407279"
;;"0.333333333333333";"0.0926425669115816";"IND";"0";"2";"15";"0";"10001";"27024";"2";"13";;;;;;;"392436";"830912";"414641";"500620"
;;"0.34640522875817";"0.0477356207014108";"IND";"0";"0";"18";"0";"10001";"27025";"3";"15";"0.314285714285714";"0.114247172395445";"IND";;;;"392436";"830912";"443213";"385749"
;;"0.189473684210526";"0.259839989318916";"IND";"0";"0";"20";"0";"10001";"27026";"1";"19";"0.169590643274854";"0.332006598705318";"IND";;;;"392436";"830912";"439339";"374468"
