"CODE";"KendalT.value";"KendalT.p.value";"N_ties.Station1";"N_ties.Station2";"Number_data";"R_Ties_sum";"ID_Station_1";"ID_Station_2";"Num_Syncr_occ";"Num_Asyncr_occ";"KT_.Asyncrony";"KT_pvalue_Asy";"KT_.Syncrony";"KT_pvalue_Sy";"Easting_1";"Northing_1";"Easting_2";"Northing_2";"Distance";"Area_1";"Area_2"
256;"-0.0822510822510823";"0.615766413538553";"0";"1";22;"0";"10001";"69006";"2";"20";"-0.0315789473684211";"0.872841459863942";;;"392436";"830912";"372668";"387533";"443982.001986993";"448.1";"257.6"
258;"0.0592885375494071";"0.714662959825396";"0";"0";23;"0";"10001";"69023";"1";"22";"0.0476190476190476";"0.780544822172399";;;"392436";"830912";"380690";"407740";"423490.783138855";"448.1";"186"
259;"0.108225108225108";"0.503053523384298";"0";"1";22;"0";"10001";"69024";"1";"21";"0.0857142857142857";"0.611932607272034";;;"392436";"830912";"374339";"406819";"424634.579766156";"448.1";"145"
260;"0.494736842105263";"0.00183970122539678";"0";"2";20;"0";"10001";"69027";"1";"19";"0.450292397660819";"0.00656594013453504";;;"392436";"830912";"390699";"391870";"439207.674395976";"448.1";"150"
284;"0.0952380952380952";"0.570605499136107";"0";"0";21;"0";"10001";"8004";"2";"19";"0.087719298245614";"0.628824392895124";;;"392436";"830912";"318548";"835197";"74037.3413660029";"448.1";"542.8"
286;"0.242105263157895";"0.145844218364728";"0";"1";20;"0";"10001";"8006";"2";"18";"0.254901960784314";"0.151922809384799";;;"392436";"830912";"331850";"851788";"64104.114673121";"448.1";"2861.2"
289;"0.294736842105263";"0.0740257292571365";"0";"0";20;"0";"10001";"8009";"0";"20";"0.294736842105263";"0.0740257292571365";;;"392436";"830912";"297722";"824763";"94944.1531764894";"448.1";"272.2"
292;"0.0671936758893281";"0.67602209547773";"0";"4";23;"0";"10001";"84001";"2";"21";"0.0952380952380952";"0.570605499136107";;;"392436";"830912";"255839";"670532";"210725.850776305";"448.1";"335.1"
298;"0.247619047619048";"0.124532027011237";"0";"1";21;"0";"10001";"84015";"1";"20";"0.273684210526316";"0.0983302187347566";;;"392436";"830912";"263792";"673914";"203030.878098225";"448.1";"235.4"
796;"0.556923076923077";"2.89642005490975e-05";"1";"0";26;"0";"12001";"15003";"13";"13";;;;;"363482";"795613";"308289";"739575";"78679.3714807166";"1370";"3210"
797;"0.243386243386243";"0.071951636377489";"3";"3";28;"0";"12001";"15004";"7";"21";"0.2";"0.218597841434383";;;"363482";"795613";"328000";"755900";"53272.722687194";"1370";"24.7"
798;"0.26";"0.0718342231525153";"1";"2";25;"0";"12001";"15005";"6";"19";"0.239766081871345";"0.163749645506441";;;"363482";"795613";"327500";"755800";"53681.4169230844";"1370";"40.9"
799;"0.366153846153846";"0.00833579046230182";"1";"1";26;"0";"12001";"15006";"10";"16";"0.166666666666667";"0.398414416048071";;;"363482";"795613";"314750";"736680";"76496.2531947643";"1370";"4587.1"
800;"0.328063241106719";"0.0291523560623737";"1";"0";23;"0";"12001";"15007";"8";"15";"0.161904761904762";"0.435118910932114";;;"363482";"795613";"292403";"753411";"82688.2809083321";"1370";"1149.4"
801;"0.217391304347826";"0.155373925016479";"1";"0";23;"0";"12001";"15008";"8";"15";"0.142857142857143";"0.495050852624803";;;"363482";"795613";"334048";"747954";"56034.4256254536";"1370";"177.1"
803;"0.0712250712250712";"0.620081483359089";"1";"0";27;"0";"12001";"16001";"10";"17";"-0.0882352941176471";"0.655307580247611";;;"363482";"795613";"293313";"716652";"105665.862296436";"1370";"590.5"
804;"0.298701298701299";"0.054420089594581";"1";"1";22;"0";"12001";"16003";"6";"16";"0.116666666666667";"0.56426737864644";;;"363482";"795613";"276441";"720399";"115068.650861669";"1370";"99.5"
817;"0.0736842105263158";"0.677108238647899";"1";"0";20;"0";"12001";"20001";"2";"18";"0.0196078431372549";"0.940516305295654";;;"363482";"795613";"359091";"676808";"118927.950439327";"1370";"307"
838;"0.195767195767196";"0.150441226024067";"1";"0";28;"0";"12001";"21003";"8";"20";"0.178947368421053";"0.28837819637641";;;"363482";"795613";"325821";"640017";"160141.951543528";"1370";"694"
839;"0.152380952380952";"0.353643850233328";"1";"0";21;"0";"12001";"21005";"6";"15";"0.104761904761905";"0.626494517515847";;;"363482";"795613";"320597";"639747";"161710.956791681";"1370";"373"
840;"0.152380952380952";"0.353643850233328";"1";"1";21;"0";"12001";"21006";"8";"13";;;;;"363482";"795613";"349823";"633376";"162867.469873239";"1370";"1500"
841;"0.019047619047619";"0.928740741261735";"1";"0";21;"0";"12001";"21007";"8";"13";;;;;"363482";"795613";"348551";"631529";"164818.987300685";"1370";"499"
842;"0.0355731225296443";"0.834573032985762";"1";"0";23;"0";"12001";"21008";"6";"17";"-0.102941176470588";"0.597643931544339";;;"363482";"795613";"370229";"628038";"167770.605692951";"1370";"1110"
843;"0.123809523809524";"0.455043658006762";"1";"0";21;"0";"12001";"21009";"8";"13";;;;;"363482";"795613";"389836";"647709";"150288.098373535";"1370";"4390"
844;"0.114285714285714";"0.492074996719473";"0";"0";21;"0";"12001";"21010";"3";"18";"0.124183006535948";"0.500867331358937";;;"363482";"795613";"358823";"632088";"163648.89798598";"1370";"2080"
845;"-0.0118577075098814";"0.958368081865405";"1";"1";23;"0";"12001";"21012";"4";"19";"0.0526315789473684";"0.782541589012256";;;"363482";"795613";"352232";"615869";"180158.455801573";"1370";"323"
855;"0.115789473684211";"0.500609627166416";"1";"0";20;"0";"12001";"22001";"5";"15";"0.314285714285714";"0.114247172395445";;;"363482";"795613";"423443";"604453";"200416.734095102";"1370";"569.8"
856;"-0.0303030303030303";"0.86726698329211";"1";"0";22;"0";"12001";"22006";"4";"18";"0.124183006535948";"0.500867331358937";;;"363482";"795613";"424293";"580003";"224103.561296754";"1370";"269.4"
857;"0.142857142857143";"0.385781433860545";"0";"0";21;"0";"12001";"22007";"1";"20";"0.168421052631579";"0.31889648047195";;;"363482";"795613";"417458";"585790";"216733.688207779";"1370";"287.3"
858;"-0.1";"0.502167931328572";"1";"0";25;"0";"12001";"23001";"3";"22";"0.0216450216450216";"0.911288468958427";;;"363482";"795613";"403858";"561700";"237458.836532494";"1370";"2175.6"
860;"0.0842105263157895";"0.630798946258977";"0";"0";20;"0";"12001";"23004";"4";"16";"0.166666666666667";"0.398414416048071";;;"363482";"795613";"385656";"564671";"232088.040417312";"1370";"751.1"
862;"0.178947368421053";"0.28837819637641";"1";"0";20;"0";"12001";"23006";"5";"15";"0.180952380952381";"0.379450395962797";;;"363482";"795613";"367216";"561064";"234662.124762432";"1370";"321.9"
867;"-0.0276679841897233";"0.87554571699662";"1";"1";23;"0";"12001";"24003";"6";"17";"-0.0147058823529412";"0.967663816839532";;;"363482";"795613";"398366";"539040";"259027.994574769";"1370";"171.9"
868;"0.0421052631578947";"0.822682885442166";"1";"0";20;"0";"12001";"24004";"7";"13";;;;;"363482";"795613";"411799";"532192";"267913.57405797";"1370";"74.9"
869;"-0.195652173913043";"0.190753585701057";"1";"0";24;"0";"12001";"24005";"6";"18";"-0.124183006535948";"0.500867331358937";;;"363482";"795613";"425904";"538688";"264496.03159068";"1370";"178.5"
870;"0.0142450142450142";"0.934204589385953";"1";"0";27;"0";"12001";"25001";"4";"23";"0.130434782608696";"0.402285680718095";;;"363482";"795613";"425923";"513748";"288804.063614435";"1370";"818.4"
871;"-0.224615384615385";"0.113093981518908";"0";"0";26;"0";"12001";"25004";"5";"21";"-0.20952380952381";"0.196652722840777";;;"363482";"795613";"428399";"512942";"290135.61539546";"1370";"250.1"
872;"-0.0380952380952381";"0.834681923422734";"0";"0";21;"0";"12001";"25005";"4";"17";"0.117647058823529";"0.54232785674881";;;"363482";"795613";"444431";"512072";"294977.058607396";"1370";"196.3"
873;"-0.0952380952380952";"0.570605499136106";"1";"0";21;"0";"12001";"25006";"7";"14";;;;;"363482";"795613";"403361";"512209";"286300.583713367";"1370";"86.1"
882;"-0.036231884057971";"0.82527166260055";"0";"0";24;"0";"12001";"26003";"3";"21";"0.114285714285714";"0.492074996719473";;;"363482";"795613";"509358";"454867";"370781.616800396";"1370";"57.2"
883;"0.12280701754386";"0.278301930962833";"4";"1";39;"0";"12001";"27001";"4";"35";"0.0756302521008403";"0.534820802192408";;;"363482";"795613";"442802";"452991";"351811.767257538";"1370";"484.3"
884;"0.0888888888888889";"0.456530631190218";"4";"0";36;"0";"12001";"27002";"3";"33";"0.0946969696969697";"0.450731604118713";;;"363482";"795613";"442215";"447311";"357219.833334035";"1370";"758.9"
885;"-0.0953846153846154";"0.512231262958448";"1";"0";26;"0";"12001";"27006";"3";"23";"-0.0276679841897233";"0.87554571699662";;;"363482";"795613";"438931";"390954";"411782.749406423";"1370";"373"
886;"-0.0266666666666667";"0.871514405818662";"1";"1";25;"0";"12001";"27007";"5";"20";"-0.0105263157894737";"0.974466902938874";;;"363482";"795613";"435599";"467047";"336510.202729279";"1370";"914.6"
888;"0.168831168831169";"0.287616758255245";"1";"1";22;"0";"12001";"27009";"4";"18";"0.254901960784314";"0.151922809384799";;;"363482";"795613";"456845";"455373";"352944.205161956";"1370";"3315"
