;CODE;River_St_1;River_St_2;KendalT.value;KendalT.p.value;N_ties.Station1;N_ties.Station2;Number_data;X;R_Ties_sum;ID_Station_1;ID_Station_2;Num_Syncr_occ;Num_Asyncr_occ;N.SY.N.ALL;KT_.Asyncrony;KT_pvalue_Asy;X.1;KT_.Syncrony;KT_pvalue_Sy;Easting_1;Northing_1;Easting_2;Northing_2;Distance.x;Area_1;Area_2;Media;Max;Min;lag0;lag1;lag2;lag3;lag4;lag5;lag6;lag7;lag8;lag9;lag10;lag710;Station.number;Catchment.area;Station.level;Mean.GDF;Maximum.GDF;Base.flow.index;QMED;Maximum.altitude;Woodland;Arable.horticultural;Grassland;Mountain.heath.bog;Urban.extent;ASPBAR..Â..;BFIHOST....;DPSBAR..m.km.;LDP..km.;PROPWET;URBCON1990;URBCON2000;URBEXT1990;URBEXT2000;URBLOC1990;URBLOC2000;Distance.y;Class;SAAR_61.90;SAAR_41.70;Min.Altitude;X50.Altitude;Max.Min.Altitude
3264;27262;Bedburn Beck;Browney;0.561904762;0.000207597;0;0;21;2;0;24004;24005;12;9;0.571;NA;NA;NA;NA;NA;411799.000;532192.000;425904.000;538688.000;15.535;74.900;178.5;2;307;0;8;2;1;0;0;0;0;0;0;0;1;1;4.17E-05;0.581005587;0.6;0.25;0.492537313;0.06122449;0.342105263;0.283018868;0.52;0.896153846;0.41509434;0.9575;0.975384615;0.052631579;0.083333333;0.290909091;0.514285714;0.305084746;NA;NA;0.974074074;0.980645161;NA;NA;15.53465661;NA;0.177777778;0.210526316;0.572727273;0.375;0.207142857
3268;27272;Bedburn Beck;Nidd;0.466666667;0.002610659;0;0;21;2;0;24004;27001;6;15;0.286;0.333;0.093;NA;NA;NA;411799.000;532192.000;442802.000;452991.000;85.083;74.900;484.3;85;327;0;2;4;0;0;0;0;0;0;0;0;0;0;0.110995889;0.845041322;0.836363636;0.844155844;0.858333333;0.041666667;0.791666667;0.242857143;0.656;0.857894737;0.38;0.65;0.975757576;0.021052632;0.12195122;0.318181818;0.776315789;0.372881356;NA;NA;0.972;0.98125;NA;NA;85.0834849;1;0.0625;0.020618557;0.827272727;0.5;0.383259912
3356;27657;Browney;Tees;0.515151515;0.000544095;0;0;22;2;0;24005;25001;7;15;0.318;0.390;0.046;NA;NA;NA;425904.000;538688.000;425923.000;513748.000;24.949;178.500;818.4;34,5;312;0;2;2;1;0;0;0;0;1;0;1;0;1;0.039838406;0.781173594;0.159090909;0.911111111;0.847727273;0.306122449;0.9;0.568181818;0.625;0.5;0.150943396;0.95;0.815384615;0.181818182;0.057142857;0.048780488;0.593023256;0.240740741;NA;NA;0.892592593;0.85483871;NA;NA;24.94904188;1;0.327272727;0.375;0.234042553;0.459459459;0.605450237
3388;27731;Browney;Nene/Kislingbury;0.422924901;0.004244768;0;0;23;2;0;24005;32008;6;17;0.261;0.368;0.042;NA;NA;NA;425904.000;538688.000;462750.000;260700.000;280.516;178.500;107;41;329;0;3;1;0;1;1;0;0;0;0;0;0;0;0.250031242;0.402234637;0.443037975;0.6;0.850746269;0.140350877;0.736842105;0.447368421;0.358333333;0.490196078;0.396226415;NA;0.277777778;0.25;0.282608696;0.461538462;0.485714286;0.268292683;0.029850746;0.012195122;0.148148148;0.243902439;0.435714286;0.4;280.5160277;1;0.108108108;0.08;0.419753086;0.35;0.612612613
3493;28081;Tees;Greta;0.601731602;3.53E-05;0;0;22;2;0;25001;25006;12;10;0.545;NA;NA;NA;NA;NA;425923.000;513748.000;403361.000;512209.000;22.623;818.400;86.1;1;328;0;10;2;0;0;0;0;0;0;0;0;0;0;0.000199952;0.894865526;0.831818182;0.872222222;0.865909091;0.352941176;0.807894737;0.329545455;0.733333333;0.938461538;0.244444444;0.451612903;0.633333333;0.509090909;0.314285714;0.170731707;0.720930233;0.129032258;NA;NA;0.793103448;0.711111111;NA;NA;22.62273543;NA;0;0.076923077;0.836363636;0.097560976;0.561611374
3496;28091;Tees;Wharfe;0.391304348;0.006957486;0;0;24;2;0;25001;27002;9;15;0.375;0.276;0.169;NA;NA;NA;425923.000;513748.000;442215.000;447311.000;68.430;818.400;758.9;33,5;358;0;2;5;1;1;0;0;0;0;0;0;0;0;0.074105622;0.072127139;0.621621622;0;0.083333333;0.170731707;0.394736842;0.204545455;0.470588235;0.538461538;0.274193548;0.470588235;0.707317073;0.214285714;0.102564103;0.254545455;0.218181818;0.203703704;NA;NA;0.71;0.71875;NA;NA;68.42979341;1;0.083333333;0;0.666666667;0.297297297;0.184834123
3498;28093;Tees;Ure;0.485507246;0.000643224;0;0;24;2;0;25001;27007;12;12;0.500;NA;NA;NA;NA;NA;425923.000;513748.000;435599.000;467047.000;47.710;818.400;914.6;8,5;360;0;2;8;1;0;1;0;0;0;0;0;0;0;0.074277039;0.106010929;0.621621622;0.181818182;0.102040816;0.128205128;0.315789474;0.193181818;0.423076923;0.071428571;0.196428571;0.441176471;0.47826087;0.236363636;0.166666667;0.171717172;0.14;0.240740741;NA;NA;0.256410256;0.423076923;NA;NA;47.70996727;NA;0;0.083333333;0.583333333;0.297297297;0.176540284
3507;28118;Tees;Dove;0.38;0.007344866;0;1;25;2;0;25001;28008;7;18;0.280;0.333;0.057;NA;NA;NA;425923.000;513748.000;411240.000;339670.000;174.760;818.400;399;33;333;0;2;0;3;0;1;0;0;0;0;0;1;1;0.107362182;0.512224939;0.569767442;0.583333333;0.772727273;0.451612903;0.773684211;0.375;0.25;0.415384615;0.444444444;0.955882353;0.5;0.266666667;0.375;0.254545455;0.372093023;0.240740741;NA;NA;0.147058824;0.383561644;NA;NA;174.7600916;1;0.090909091;0.166666667;0.571428571;0.27027027;0.447867299
3534;28175;Tees;Thet;-0.437229437;0.003915902;0;1;22;2;0;25001;33019;4;18;0.182;-0.425;0.014;NA;NA;NA;425923.000;513748.000;587961.000;283000.000;282.017;818.400;316;122;326;1;0;2;0;1;0;1;0;0;0;0;0;0;0.242829886;0.613691932;0.702702703;0.894444444;0.965909091;0.564102564;0.980789474;0.919318182;0.71875;0.790322581;0.622222222;NA;0.733333333;0.5;0.507042254;0.829268293;0.465116279;0.425925926;NA;NA;0.792857143;0.678571429;NA;NA;282.0165071;1;0.436363636;0.466666667;0.722222222;0.894594595;0.927725118
3540;28198;Tees;Tas;-0.415019763;0.005083777;0;0;23;2;0;25001;34002;5;18;0.217;-0.373;0.032;NA;NA;NA;425923.000;513748.000;622583.000;299391.000;290.943;818.400;146.5;119;342;6;0;0;0;0;0;0;1;3;1;0;0;1;0.264719722;0.820293399;0.740540541;0.958333333;0.904545455;0.423728814;NA;0.919318182;0.347826087;0.816901408;0.577777778;NA;0.675675676;0.5;0.186046512;0.756097561;0.686046512;0.462962963;NA;NA;0.847368421;0.7;NA;NA;290.9433979;1;0.445454545;0.483333333;0.738888889;0.875675676;0.927014218
