;CODE;River_St_1;River_St_2;KendalT.value;KendalT.p.value;N_ties.Station1;N_ties.Station2;Number_data;X;R_Ties_sum;ID_Station_1;ID_Station_2;Num_Syncr_occ;Num_Asyncr_occ;N.SY.N.ALL;KT_.Asyncrony;KT_pvalue_Asy;X.1;KT_.Syncrony;KT_pvalue_Sy;Easting_1;Northing_1;Easting_2;Northing_2;Distance.x;Area_1;Area_2;Media;Max;Min;lag0;lag1;lag2;lag3;lag4;lag5;lag6;lag7;lag8;lag9;lag10;lag710;Station.number;Catchment.area;Station.level;Mean.GDF;Maximum.GDF;Base.flow.index;QMED;Maximum.altitude;Woodland;Arable.horticultural;Grassland;Mountain.heath.bog;Urban.extent;ASPBAR..Â..;BFIHOST....;DPSBAR..m.km.;LDP..km.;PROPWET;URBCON1990;URBCON2000;URBEXT1990;URBEXT2000;URBLOC1990;URBLOC2000;Distance.y;Class;SAAR_61.90;SAAR_41.70;Min.Altitude;X50.Altitude;Max.Min.Altitude
9042;56207;Nene;Bedford Ouse;0.569230769;1.80E-05;0;1;26;2;0;32010;33002;17;9;0.653846154;NA;NA;3;0.573529412;0.000901335;508060;299550;505353;249560;50.07480695;1530;1460;2;329;0;2;9;3;2;0;0;1;0;0;0;0;0;0.030058784;0.045751634;0.684;NA;NA;NA;NA;0.12;0.090909091;0.037735849;0.161290323;0.625;0.188888889;0.031914894;0.134615385;0.138888889;0.142857143;0.066666667;0.114285714;0.036585366;0.290322581;0.285714286;0.141414141;0.12;50.07480695;High Syn;0.03125;0.030769231;0.620833333;0.08;0.066814159
9046;56213;Nene;Kym;0.691699605;4.49E-07;0;1;23;2;0;32010;33012;15;8;0.652173913;NA;NA;3;0.771428571;1.01E-05;508060;299550;515607;263134;37.19789369;1530;137.5;3;280;0;2;5;2;4;1;1;0;0;0;0;0;0;0.030352599;0.909803922;0.535294118;NA;NA;NA;0.73015873;0.545454545;0.43;0.293333333;0.307692308;NA;0.777777778;0.043956044;0.403846154;0.277777778;0.741666667;0.142857143;0.457142857;0.292682927;0.761290323;0.851020408;0.101010101;0.11;37.19789369;High Syn;0.048387097;0.031746032;0.494444444;0.315217391;0.611190138
9164;56430;Nene;Avon;0.541501976;0.000169762;0;0;23;2;0;32010;54019;14;9;0.608695652;NA;NA;3;NA;NA;508060;299550;433287;271535;79.87312348;1530;347;3;304;0;2;4;5;2;0;0;0;0;0;1;0;1;0.407430719;0.773202614;0.856363636;NA;NA;NA;0.492063492;0.045454545;0.21;0.226415094;0.333333333;NA;0.1;0.662962963;0.192307692;0.166666667;0.483333333;0.034482759;0.078947368;0.035294118;0.114285714;0.081632653;0.171717172;0.16;79.87312348;High Syn;0.046153846;0.086956522;0.834545455;0.233333333;0.265054528
9239;56607;Bedford Ouse;Bedford Ouse;0.829059829;6.25E-13;1;1;27;2;0;33002;33009;25;2;0.925925926;NA;NA;3;0.833333333;4.64E-12;505353;249560;494993;256463;12.45221878;1460;1320;1;189;0;4;20;1;0;0;0;0;0;0;0;0;0;0.000212063;0.095890411;0.390243902;0.127272727;0.5;0;NA;0;0;0.019607843;0;0;0.04109589;0.127659574;0;0;0.314285714;0;0.016129032;0.012658228;0.090909091;0.057142857;0;0.011363636;12.45221878;High Syn;0;0.015151515;0.4;0;0.07079646
9241;56609;Bedford Ouse;Kym;0.644927536;2.10E-06;1;1;24;2;0;33002;33012;15;9;0.625;NA;NA;3;0.847619048;4.07E-07;505353;249560;515607;263134;17.0154599;1460;137.5;3,5;332;0;1;1;5;5;1;0;0;0;0;1;1;2;0.00030292;0.905479452;0.32;0.943636364;0.921428571;0.509433962;NA;0.6;0.481818182;0.32;0.419354839;NA;0.726027397;0.074468085;0.311111111;0.161290323;0.778571429;0.2;0.387096774;0.265822785;0.663636364;0.791428571;0.04494382;0.011235955;17.0154599;High Syn;0.078125;0.061538462;0.25;0.37;0.637168142
9249;56619;Bedford Ouse;Rhee;0.561904762;0.000207597;1;0;21;2;0;33002;33027;13;8;0.619047619;NA;NA;3;NA;NA;505353;249560;533301;248518;27.97288025;1460;119.1;4;278;0;1;0;9;0;1;0;1;0;0;1;0;1;0.000756956;0.918493151;0.28;0.954545455;0.968928571;0.196969697;NA;0.32;0.763636364;0.337662338;0.451612903;NA;0.589041096;0.808510638;0.262295082;0.290322581;0.85;0.2;0.35483871;0.113924051;0.65;0.628571429;0.065934066;0.032967033;27.97288025;High Syn;0.125;0.123076923;0.208333333;0.56;0.331858407
9288;56690;Bedford Ouse;Thames;0.5;0.00030144;1;3;25;2;0;33002;39002;17;8;0.68;NA;NA;3;0.676470588;5.19E-05;505353;249560;456880;193620;74.04099115;1460;3444.7;2;267;0;5;5;3;0;1;0;1;0;2;0;0;2;0.153838265;0.576197388;0.456521739;0.620689655;0.2;0.171875;NA;0.242424242;0;0.098039216;0.088235294;1;0.01369863;0.276923077;0.307692308;0.162162162;0;0.032258065;0.088235294;0.024691358;0.153846154;0.142857143;0.055555556;0.011363636;74.04099115;High Syn;0.072463768;0.097222222;0.441860465;0.090909091;0.212543554
9345;56812;Bedford Ouse;Avon;0.549407115;0.000131769;1;0;23;2;0;33002;54002;14;9;0.608695652;NA;NA;3;NA;NA;505353;249560;404007;243741;101.5457678;1460;2210;5;283;2;0;0;9;2;0;1;1;0;0;1;0;1;0.388874486;0.339366516;0.2;0.3125;0.317073171;0.037735849;NA;0.21875;0;0.137254902;0.088235294;1;0.336363636;0.675862069;0.111111111;0.184210526;0.071428571;0.033333333;0.162162162;0.070588235;0.476190476;0.285714286;0.15;0.2;101.5457678;High Syn;0.015384615;0.029850746;0.125;0.04;0.244147157
9350;56818;Bedford Ouse;Stour (Warks);0.513333333;0.000197396;1;1;25;2;0;33002;54010;15;10;0.6;NA;NA;3;0.371428571;0.058995845;505353;249560;420833;250643;84.55353478;1460;319;3;264;0;1;1;7;4;0;0;1;0;0;0;1;1;0.388965006;0.781506849;0.342105263;0.8;0.678571429;0.075471698;NA;0.193548387;0;0.019230769;0.03125;NA;0.424657534;0.978723404;0.133333333;0.465517241;0.685714286;0;0.080645161;0.113924051;0.318181818;0.714285714;0.132653061;0.12;84.55353478;High Syn;0.03030303;0.044117647;0.368421053;0.090909091;0.169117647
9408;57045;Wissey;Nar;0.726315789;8.33E-07;0;0;20;2;0;33006;33007;14;6;0.7;NA;NA;3;NA;NA;577107;296526;572348;311976;16.16627937;274.5;153.3;1;142;0;4;8;1;0;0;0;0;0;0;1;0;1;3.03E-05;0.443636364;0.132075472;0.421052632;0.461538462;0.10989011;NA;0.021276596;0.44375;0.283783784;0.481481481;NA;0.108108108;0.259259259;0.05;0.130434783;0.071428571;0.133333333;0.118644068;0.111111111;0.342857143;0.578571429;0.216666667;0.154545455;16.16627937;High Syn;0.029411765;0.028985507;0.025974026;0.28125;0.020857474
